point_index,bidirectional_dijkstra_time,nx_bidirectional_dijkstra_time,dijkstras_time,nx_dijkstra_time,A_star_time,nx_A_star_time,bidirectional_dijkstra_cost,nx_bidirectional_dijkstra_cost,dijkstras_cost,nx_dijkstra_cost,A_star_cost,nx_A_star_cost
0,0.0015375,0.0007649,0.0015856,0.0014924,0.0044,0.0048265,12506.806,12420.353,12565.416,12420.353,12565.416,12565.416
1,0.0004656,0.0003323,0.0013406,0.0011821,0.0015068,0.001725,6889.607,6787.857,6787.857,6787.857,6787.857,6787.857
2,0.0008813,0.0007577,0.0013337,0.0012626,0.0036046,0.0041929,9591.257,9591.257,9591.257,9591.257,9591.257,9591.257
3,0.0007174,0.0006041,0.0018698,0.0007064,0.0007981,0.0014993,9194.354,9049.842,9194.905,9049.842,9194.905,9194.905
4,0.0026012,0.0021895,0.0021949,0.0015915,0.0031485,0.0029362,13019.752,13150.583,13150.583,13150.583,13150.583,13150.583
5,0.0005825,0.000436,0.0013985,0.0007547,0.0013584,0.0015155,7516.24,7580.378,7580.378,7580.378,7580.378,7580.378
6,0.0005568,0.0003931,0.0016219,0.0011059,0.0022271,0.0033208,10226.775,10081.712,10226.775,10081.712,10226.775,10226.775
7,0.0024004,0.0015194,0.0020481,0.0011713,0.0018178,0.0019561,8016.06,7787.954,7787.954,7787.954,7787.954,7787.954
8,0.0011575,0.0009221,0.0021182,0.0017615,0.0049647,0.0055484,9536.696,9536.696,9536.696,9536.696,9536.696,9536.696
9,0.0010113,0.0009399,0.0018961,0.0016942,0.0054952,0.0053346,6236.637,6150.735,6295.798,6150.735,6295.798,6295.798
10,0.0015355,0.0010639,0.0012751,0.0008745,0.0012635,0.0013767,9784.879,9784.879,9784.879,9784.879,9784.879,9784.879
11,0.0007681,0.0006184,0.001403,0.0011724,0.0026406,0.0030261,11409.071,11396.966,11396.966,11396.966,11396.966,11396.966
12,0.0009042,0.0008483,0.001404,0.0008631,0.0012022,0.001296,10029.977,9966.104,9966.104,9966.104,9966.104,9966.104
13,0.0009051,0.000795,0.001405,0.0012651,0.0036083,0.0049319,8267.916,8181.463,8326.526,8181.463,8326.526,8326.526
14,0.0011796,0.0016781,0.0020628,0.0016179,0.0037888,0.0042567,10062.189,9364.444,9509.507,9364.444,9509.507,9509.507
15,0.0004347,0.0002968,0.0014117,0.0011362,0.0007373,0.0006747,9155.437,9010.374,9155.437,9010.374,9155.437,9155.437
16,0.0007479,0.0005892,0.0013267,0.0024205,0.0037602,0.0034384,10031.398,10031.398,10031.398,10031.398,10031.398,10031.398
17,0.0007429,0.0005576,0.0014925,0.0012572,0.002071,0.0023889,7820.078,7820.078,7820.078,7820.078,7820.078,7820.078
18,0.0004825,0.0003303,0.0014272,0.0001865,0.0003762,0.0003496,6971.275,6767.051,6912.114,6767.051,6912.114,6912.114
19,0.0007087,0.0005962,0.0014364,0.0013298,0.0034075,0.0039767,9002.555,9002.555,9002.555,9002.555,9002.555,9002.555
20,0.0005923,0.0004361,0.0017588,0.0016376,0.006124,0.0066813,7167.599,7167.599,7167.599,7167.599,7167.599,7167.599
21,0.0014378,0.0010497,0.0020037,0.0020863,0.0073902,0.008252,8924.879,8924.879,8924.879,8924.879,8924.879,8924.879
22,0.0013568,0.0010828,0.0021198,0.0016671,0.0019384,0.0020521,6172.244,6162.976,6162.976,6162.976,6162.976,6162.976
