point_index,bidirectional_dijkstra_time,nx_bidirectional_dijkstra_time,dijkstras_time,nx_dijkstra_time,A_star_time,nx_A_star_time,bidirectional_dijkstra_cost,nx_bidirectional_dijkstra_cost,dijkstras_cost,nx_dijkstra_cost,A_star_cost,nx_A_star_cost
0,0.0005693,0.0003914,0.0021435,0.0005641,0.0029157,0.0023965,986.042,986.042,986.042,986.042,986.042,986.042
1,0.0005963,0.0003211,0.0021768,0.0004488,0.000934,0.0009171,578.144,574.018,574.018,574.018,574.018,574.018
2,0.0004294,0.0001568,0.0021349,0.0001379,0.000514,0.000438,281.162,281.162,281.162,281.162,281.162,281.162
3,0.0003442,5.10E-05,0.0021334,0.0001001,0.0002952,0.0001756,246.423,246.423,246.423,246.423,246.423,246.423
4,0.0003972,0.0001446,0.0021612,0.0001602,0.0005378,0.0004487,367.282,361.051,361.051,361.051,361.051,361.051
5,0.0005211,0.0002543,0.0021725,0.0003119,0.0007202,0.0006648,458.355,458.355,458.355,458.355,458.355,458.355
6,0.0007379,0.0005166,0.0021974,0.000695,0.0011616,0.0011707,754.538,747.302,747.302,747.302,747.302,747.302
7,0.000877,0.0006464,0.0022322,0.0008021,0.0013629,0.0013941,876.015,858.962,858.962,858.962,858.962,858.962
8,0.0005985,0.0003566,0.0021409,0.0007306,0.0007701,0.0007213,970.447,970.447,970.447,970.447,970.447,970.447
9,0.0004553,0.0001955,0.0020606,0.0002363,0.0007334,0.0006847,556.382,555.136,555.136,555.136,555.136,555.136
10,0.000725,0.0001289,0.0013169,0.0001472,0.000258,0.0002016,598.147,598.92,598.92,598.92,598.92,598.92
11,0.0008168,0.0004266,0.0015977,0.0004877,0.000913,0.0010168,1015.383,1015.383,1015.383,1015.383,1015.383,1015.383
12,0.0003756,0.0002058,0.0014859,0.0002533,0.0003826,0.0003448,624.217,624.217,624.217,624.217,624.217,624.217
13,0.000252,5.51E-05,0.0014273,3.97E-05,0.0001726,8.22E-05,284.828,295.503,295.503,295.503,295.503,295.503
14,0.000496,0.0003523,0.0014671,0.0003311,0.0003774,0.0003111,1044.603,1044.603,1044.603,1044.603,1044.603,1044.603
15,0.0003627,0.0002452,0.0012705,0.0003055,0.0005637,0.0005632,1026.076,1104.013,1104.013,1104.013,1104.013,1104.013
16,0.000317,0.0001436,0.0014105,0.0001343,0.0003252,0.0002874,473.051,473.051,473.051,473.051,473.051,473.051
17,0.0005107,0.0003527,0.0014312,0.0004921,0.0008138,0.0008609,1090.375,1070.973,1070.973,1070.973,1070.973,1070.973
18,0.0003245,0.000155,0.0014519,0.0003649,0.0004348,0.0004122,831.094,831.094,831.094,831.094,831.094,831.094
19,0.0006159,0.0004821,0.0018391,0.0006098,0.0010138,0.0011196,1207.205,1207.205,1207.205,1207.205,1207.205,1207.205
20,0.0003325,0.0001213,0.0012417,0.0001127,0.0002836,0.0004413,439.412,436.527,436.527,436.527,436.527,436.527
21,0.0005982,0.0002379,0.0022633,0.0001782,0.000428,0.0003632,476.721,476.721,476.721,476.721,476.721,476.721
22,0.0004147,0.0002335,0.0014079,0.0002199,0.0002666,0.0002469,584.873,584.873,584.873,584.873,584.873,584.873
23,0.0004562,0.0003119,0.0027262,0.0009563,0.0025051,0.0025724,912.946,907.726,907.726,907.726,907.726,907.726
24,0.0007403,0.0002468,0.0030673,0.0002029,0.0004889,0.0003623,359.105,358.679,358.679,358.679,358.679,358.679
25,0.0007075,0.0004587,0.0031266,0.0009734,0.0012306,0.0011944,674.268,674.268,674.268,674.268,674.268,674.268
26,0.0017464,0.0010337,0.002215,0.0008231,0.0018809,0.0021365,1221.494,1188.061,1188.061,1188.061,1188.061,1188.061
27,0.0008923,0.0006245,0.0021636,0.0006838,0.0011867,0.001205,1068.393,1068.393,1068.393,1068.393,1068.393,1068.393
28,0.000407,0.0001271,0.0021461,0.0001281,0.0004496,0.0003584,509.937,509.937,509.937,509.937,509.937,509.937
29,0.0007044,0.0004489,0.0020683,0.0005352,0.0011828,0.0012295,783.786,783.786,783.786,783.786,783.786,783.786
