point_index,bidirectional_dijkstra_time,nx_bidirectional_dijkstra_time,dijkstras_time,nx_dijkstra_time,A_star_time,nx_A_star_time,bidirectional_dijkstra_cost,nx_bidirectional_dijkstra_cost,dijkstras_cost,nx_dijkstra_cost,A_star_cost,nx_A_star_cost
0,0.0004004,0.0003484,0.0005349,0.0004023,0.0007226,0.0008228,986.042,986.042,986.042,986.042,986.042,986.042
1,0.0003532,0.0003078,0.0004311,0.0003143,0.0008638,0.0009168,578.144,574.018,574.018,574.018,574.018,574.018
2,0.0001121,9.88E-05,9.65E-05,7.32E-05,0.0001791,0.0001845,281.162,281.162,281.162,281.162,281.162,281.162
3,7.94E-05,5.45E-05,0.0001104,6.96E-05,0.0001855,0.00018,246.423,246.423,246.423,246.423,246.423,246.423
4,9.96E-05,9.47E-05,0.0001445,8.81E-05,0.0002092,0.0002033,367.282,361.051,361.051,361.051,361.051,361.051
5,0.0001592,0.0001452,0.0001918,0.0001467,0.0003198,0.0003043,458.355,458.355,458.355,458.355,458.355,458.355
6,0.0006046,0.0005169,0.0008512,0.0004883,0.0010837,0.0011598,754.538,747.302,747.302,747.302,747.302,747.302
7,0.0004426,0.0003914,0.0004988,0.0004581,0.000577,0.0006429,876.015,858.962,858.962,858.962,858.962,858.962
8,0.0003052,0.0002452,0.0018392,0.0006925,0.0006777,0.0006554,970.447,970.447,970.447,970.447,970.447,970.447
9,0.0002143,0.000169,0.0003106,0.0001891,0.0003549,0.0003715,556.382,555.136,555.136,555.136,555.136,555.136
10,0.0001533,0.0001654,0.0003275,0.0001695,0.0002859,0.0002773,598.147,598.92,598.92,598.92,598.92,598.92
11,0.0005016,0.0004256,0.0006563,0.0005429,0.001119,0.0011678,1015.383,1015.383,1015.383,1015.383,1015.383,1015.383
12,0.0003496,0.0003038,0.0004821,0.0002905,0.0007113,0.0007575,624.217,624.217,624.217,624.217,624.217,624.217
13,5.42E-05,5.00E-05,3.81E-05,2.88E-05,8.33E-05,7.23E-05,295.503,295.503,295.503,295.503,295.503,295.503
14,0.0003535,0.0003049,0.0004988,0.0002312,0.0003113,0.0003057,1044.603,1044.603,1044.603,1044.603,1044.603,1044.603
15,0.0002806,0.0002435,0.0004675,0.0002491,0.0004433,0.0004778,1026.076,1104.013,1104.013,1104.013,1104.013,1104.013
16,0.0001362,0.000123,0.0001442,9.51E-05,0.000451,0.0002934,473.051,473.051,473.051,473.051,473.051,473.051
17,0.000487,0.0003068,0.000534,0.0003993,0.0006682,0.0007307,1090.375,1070.973,1070.973,1070.973,1070.973,1070.973
18,0.0001641,0.0001358,0.0002744,0.0002443,0.0003315,0.0003529,831.094,831.094,831.094,831.094,831.094,831.094
19,0.0004532,0.0003996,0.0005604,0.0006515,0.0009945,0.0009412,1207.205,1207.205,1207.205,1207.205,1207.205,1207.205
20,0.0001196,0.0001423,0.000157,0.0001012,0.0002189,0.0002292,439.412,436.527,436.527,436.527,436.527,436.527
21,0.0001414,0.0001172,0.0001711,0.0001029,0.0002229,0.0002338,476.721,476.721,476.721,476.721,476.721,476.721
