point_index,bidirectional_dijkstra_time,nx_bidirectional_dijkstra_time,dijkstras_time,nx_dijkstra_time,A_star_time,nx_A_star_time,bidirectional_dijkstra_cost,nx_bidirectional_dijkstra_cost,dijkstras_cost,nx_dijkstra_cost,A_star_cost,nx_A_star_cost
0,0.0336846,0.0291209,0.0407585,0.0383877,0.0280135,0.0278507,9310.702,9314.051,9314.051,9314.051,9314.051,9314.051
1,0.0201205,0.0144718,0.057468,0.0238458,0.0143112,0.0128519,5738.371,5726.637,5738.871,5726.637,5738.871,5992.359
2,0.0323438,0.0346587,0.0493315,0.1554223,0.0379324,0.0505828,9396.708,9452.17,9452.17,9452.17,9452.17,9452.17
3,0.0224332,0.0183756,0.0411023,0.0295499,0.0173789,0.0105514,8303.432,7904.114,7904.114,7904.114,7904.114,7904.114
4,0.0198493,0.0148004,0.0531286,0.0209033,0.0181181,0.0163675,7400.865,7386.37,7386.37,7386.37,7386.37,7386.37
5,0.0449986,0.0316923,0.0455859,0.0419922,0.0387667,0.0625442,13947.361,13816.274,13816.274,13816.274,13816.274,13816.274
6,0.1439077,0.030898,0.06071,0.0558553,0.0505171,0.0647161,9786.125,9786.125,9786.125,9786.125,9786.125,9786.125
7,0.0361054,0.0315235,0.0517054,0.0403987,0.0390473,0.0311693,6903.72,6759.88,6759.88,6759.88,6759.88,6759.88
8,0.022527,0.0149847,0.0440308,0.0433367,0.0216952,0.0209974,6313.638,6310.43,6310.43,6310.43,6310.43,6310.43
9,0.0194131,0.0163812,0.042538,0.1413212,0.0234527,0.0352225,6312.536,6312.536,6312.536,6312.536,6312.536,6312.536
10,0.027609,0.0216829,0.0524717,0.0382217,0.0192492,0.0167648,6777.795,6781.209,6781.209,6781.209,6781.209,6781.209
11,0.0178413,0.0160242,0.0404242,0.0350369,0.03016,0.0397357,7716.801,7652.134,7652.134,7652.134,7652.134,7652.134
12,0.0470467,0.0445529,0.0463884,0.0559353,0.0956743,0.0998979,10178.994,10056.587,10056.587,10056.587,10056.587,10056.587
13,0.1336286,0.0200813,0.0439926,0.0468132,0.0271629,0.0268947,9104.592,9075.639,9075.639,9075.639,9075.639,9075.639
