point_index,bidirectional_dijkstra_time,nx_bidirectional_dijkstra_time,dijkstras_time,nx_dijkstra_time,A_star_time,nx_A_star_time,bidirectional_dijkstra_cost,nx_bidirectional_dijkstra_cost,dijkstras_cost,nx_dijkstra_cost,A_star_cost,nx_A_star_cost
0,0.0058771,0.0008699,0.0473718,0.0009869,0.0028311,0.0007709,1483.662,1514.869,1514.869,1514.869,1514.869,1514.869
1,0.0043635,0.0003844,0.0504759,0.0005032,0.0025313,0.0003868,529.314,529.314,529.314,529.314,529.314,529.314
2,0.1101166,0.0002337,0.0441063,0.0004836,0.0060746,0.0011954,1079.753,1079.753,1079.753,1079.753,1079.753,1079.753
3,0.0097966,0.0020423,0.0531617,0.002082,0.0030148,0.0011401,1044.863,1018.354,1018.354,1018.354,1018.354,1018.354
4,0.0046768,0.0004828,0.0419537,0.0004982,0.0024973,0.0004385,970.682,970.682,970.682,970.682,970.682,970.682
5,0.004637,0.0002537,0.0571302,0.0003622,0.0023944,0.0001393,329.283,329.283,329.283,329.283,329.283,329.283
6,0.0056412,0.001568,0.1657366,0.0026001,0.0030923,0.0010902,1092.596,1092.596,1092.596,1092.596,1092.596,1092.596
7,0.0046313,0.0002415,0.0425975,0.0003489,0.0025041,0.0004813,417.351,431.749,431.749,431.749,431.749,431.749
8,0.0080832,0.0004804,0.0561539,0.0006996,0.0026174,0.0005189,951.986,951.986,951.986,951.986,951.986,951.986
9,0.0062073,0.0017048,0.0417471,0.0027479,0.0045315,0.0027872,1108.232,1108.134,1108.134,1108.134,1108.134,1108.134
10,0.1171058,0.0016531,0.0419618,0.0014381,0.0054362,0.003916,993.645,993.645,993.645,993.645,993.645,993.645
11,0.0094466,0.0020303,0.0568712,0.0024066,0.0037835,0.00169,1107.085,1107.085,1107.085,1107.085,1107.085,1107.085
12,0.0059838,0.001274,0.0554927,0.0031233,0.0051993,0.0018046,1052.223,1018.989,1018.989,1018.989,1018.989,1018.989
13,0.0072803,0.0007955,0.0474247,0.0012441,0.0033747,0.0012158,1162.642,1171.577,1171.577,1171.577,1171.577,1171.577
14,0.1161459,0.0017172,0.0476708,0.0013992,0.0027261,0.0007399,1061.494,1061.494,1061.494,1061.494,1061.494,1061.494
15,0.0046789,0.0006551,0.0429424,0.0010788,0.0024874,0.0004238,1191.598,1190.835,1190.835,1190.835,1190.835,1190.835
16,0.0056498,0.0003317,0.043908,0.0011409,0.0041312,0.0012565,814.328,814.328,814.328,814.328,814.328,814.328
17,0.0070665,0.001389,0.05884,0.0038929,0.0056543,0.0024387,1094.216,1093.21,1093.21,1093.21,1093.21,1093.21
18,0.1236227,0.0018897,0.0499677,0.0029003,0.0050504,0.0017441,1056.497,1048.602,1048.602,1048.602,1048.602,1048.602
19,0.0058925,0.0011925,0.0455343,0.0017485,0.0023891,0.0008648,850.073,850.073,850.073,850.073,850.073,850.073
20,0.0048813,0.0004816,0.0437155,0.0006296,0.0028733,0.000928,741.386,749.864,749.864,749.864,749.864,749.864
21,0.0053329,0.0022518,0.0601112,0.0035237,0.0095489,0.0051602,1281.102,1320.105,1320.105,1320.105,1320.105,1320.105
22,0.1255214,0.0010672,0.0479835,0.0013801,0.0027056,0.0013001,799.144,786.546,786.546,786.546,786.546,786.546
23,0.0058893,0.0011819,0.0505213,0.0015675,0.0032342,0.0012289,1146.845,1117.769,1117.769,1117.769,1117.769,1117.769
24,0.0043942,0.0001495,0.0548411,0.0002784,0.0043071,0.000692,879.46,879.778,879.778,879.778,879.778,879.778
25,0.0081007,0.0004097,0.0473144,0.0009437,0.0026537,0.0005257,868.461,866.745,866.745,866.745,866.745,866.745
26,0.0048334,0.0003992,0.1558644,0.0006925,0.0047596,0.001624,442.288,430.098,430.098,430.098,430.098,430.098
27,0.0091165,0.0008393,0.0442821,0.0011081,0.0027489,0.0010676,828.701,857.309,857.309,857.309,857.309,857.309
28,0.0054199,0.0012571,0.0499763,0.0031337,0.0047612,0.0025271,1322.768,1321.685,1321.685,1321.685,1321.685,1321.685
29,0.0053969,0.000821,0.0567855,0.0008837,0.0022611,0.0005512,890.579,890.579,890.579,890.579,890.579,890.579
30,0.0043773,0.0004527,0.1632852,0.0008536,0.0037056,0.0008878,586.726,577.023,577.023,577.023,577.023,577.023
31,0.0044541,0.0001719,0.0534167,0.0004687,0.0044932,0.0008121,423.258,413.539,413.539,413.539,413.539,413.539
32,0.0090389,0.0013961,0.0588487,0.0038262,0.0066268,0.003074,968.591,970.56,970.56,970.56,970.56,970.56
33,0.0050569,0.0012196,0.0557065,0.0018651,0.0034672,0.0013073,1359.189,1352.141,1352.141,1352.141,1352.141,1352.141
34,0.0053672,0.0001467,0.0539286,0.0001162,0.112208,0.0002728,493.244,493.244,493.244,493.244,493.244,493.244
35,0.0089188,0.0002558,0.0495968,0.0002281,0.0021916,0.0003165,484.777,451.365,451.365,451.365,451.365,451.365
36,0.0061203,0.0014711,0.0592621,0.0038398,0.006203,0.0030691,1256.085,1256.085,1256.085,1256.085,1256.085,1256.085
37,0.0079676,0.0004837,0.0446841,0.00031,0.0025095,0.0005817,502.537,502.537,502.537,502.537,502.537,502.537
38,0.0049158,0.0005593,0.0475511,0.0007977,0.0027616,0.0008917,665.736,661.014,661.014,661.014,661.014,661.014
39,0.107455,0.0012313,0.0583929,0.0016198,0.0028489,0.0007571,1011.745,1009.885,1009.885,1009.885,1009.885,1009.885
40,0.0062475,0.0020882,0.0505802,0.0049826,0.0097103,0.0064667,1243.62,1242.319,1242.319,1242.319,1242.319,1242.319
41,0.0087141,0.0009715,0.0588249,0.0013315,0.0042998,0.0004928,855.091,855.091,855.091,855.091,855.091,855.091
42,0.0047786,0.0004462,0.0434605,0.0010794,0.1222354,0.0041597,1248.615,1244.753,1244.753,1244.753,1244.753,1244.753
43,0.0098238,0.0017726,0.059263,0.0021123,0.0073027,0.0038246,1037.151,1024.285,1024.285,1024.285,1024.285,1024.285
44,0.0061806,0.0010221,0.0423489,0.0015377,0.0033017,0.0013502,858.99,857.177,857.177,857.177,857.177,857.177
45,0.0042136,0.0001897,0.0423,0.0003205,0.0025025,0.0003987,616.744,616.577,616.577,616.577,616.577,616.577
46,0.0049322,0.0007485,0.0587332,0.0016096,0.1210566,0.0029239,802.763,802.763,802.763,802.763,802.763,802.763
47,0.0052657,0.001461,0.0569175,0.0020954,0.0062326,0.0029184,1312.571,1312.571,1312.571,1312.571,1312.571,1312.571
48,0.0101634,0.0024167,0.0603419,0.004498,0.009867,0.0070469,1152.353,1149.75,1149.75,1149.75,1149.75,1149.75
49,0.0100279,0.002599,0.0513708,0.0041053,0.0081245,0.0053186,1216.176,1216.176,1216.176,1216.176,1216.176,1216.176
50,0.0083659,0.000912,0.0589424,0.0013938,0.0055463,0.0019166,1165.242,1147.675,1147.675,1147.675,1147.675,1147.675
51,0.1275973,0.0012874,0.0588516,0.0015387,0.0028812,0.0010801,735.956,735.956,735.956,735.956,735.956,735.956
52,0.0045134,0.0001681,0.0439204,0.0002131,0.0023879,0.0002018,290.288,283.88,283.88,283.88,283.88,283.88
53,0.0048346,0.0005906,0.0411134,0.0014533,0.0029638,0.0011833,1041.674,1040.448,1040.448,1040.448,1040.448,1040.448
54,0.0059792,0.0002021,0.040568,0.0002945,0.0023703,0.0002968,516.018,516.018,516.018,516.018,516.018,516.018
55,0.107949,0.0009181,0.0499294,0.0014766,0.0049135,0.0014393,826.658,755.051,755.051,755.051,755.051,755.051
