point_index,bidirectional_dijkstra_time,nx_bidirectional_dijkstra_time,dijkstras_time,nx_dijkstra_time,A_star_time,nx_A_star_time,bidirectional_dijkstra_cost,nx_bidirectional_dijkstra_cost,dijkstras_cost,nx_dijkstra_cost,A_star_cost,nx_A_star_cost
0,0.0006542,0.00056,0.0008631,0.0005578,0.000885,0.0006375,1483.662,1514.869,1514.869,1514.869,1514.869,1514.869
1,0.0003213,0.0002588,0.0006711,0.0005518,0.0003177,0.0003115,529.314,529.314,529.314,529.314,529.314,529.314
2,0.0001656,0.000111,0.0001326,0.0001021,0.0004122,0.0004607,1079.753,1079.753,1079.753,1079.753,1079.753,1079.753
3,0.0026248,0.0020416,0.0051017,0.0026202,0.0026073,0.0024817,1044.863,1018.354,1018.354,1018.354,1018.354,1018.354
4,0.0007011,0.0005361,0.0012791,0.0005217,0.000836,0.0008306,970.682,970.682,970.682,970.682,970.682,970.682
5,0.0006034,0.000288,0.0005808,0.0002708,0.0001841,0.0001475,329.283,329.283,329.283,329.283,329.283,329.283
6,0.0018348,0.0014312,0.0032189,0.0019836,0.0010834,0.0010262,1092.596,1092.596,1092.596,1092.596,1092.596,1092.596
7,0.0003083,0.0002684,0.0005238,0.0002953,0.0005421,0.0005647,417.351,431.749,431.749,431.749,431.749,431.749
8,0.0002708,0.0002111,0.0005063,0.0002584,0.0003892,0.0004601,951.986,951.986,951.986,951.986,951.986,951.986
9,0.0031769,0.0027307,0.0047388,0.0035004,0.0057455,0.0060504,1108.232,1108.134,1108.134,1108.134,1108.134,1108.134
10,0.0011257,0.0008758,0.0018464,0.0011848,0.0012176,0.0012688,993.645,993.645,993.645,993.645,993.645,993.645
11,0.0015239,0.0013021,0.0029821,0.0018708,0.0013259,0.0013433,1107.085,1107.085,1107.085,1107.085,1107.085,1107.085
12,0.0016464,0.0012474,0.0036525,0.0017489,0.0009029,0.0007571,1052.223,1018.989,1018.989,1018.989,1018.989,1018.989
13,0.0009176,0.0007526,0.0014095,0.0006153,0.0015615,0.0009847,1162.642,1171.577,1171.577,1171.577,1171.577,1171.577
14,0.0011492,0.0012528,0.0027579,0.0014568,0.0008477,0.0007236,1061.494,1061.494,1061.494,1061.494,1061.494,1061.494
15,0.0009555,0.0007417,0.0018009,0.0010254,0.0011088,0.0015508,1191.598,1190.835,1190.835,1190.835,1190.835,1190.835
16,0.0004795,0.0003646,0.0007199,0.0004703,0.0009111,0.0009349,814.328,814.328,814.328,814.328,814.328,814.328
17,0.0019942,0.0012724,0.0032628,0.0022258,0.001513,0.0015436,1094.216,1093.21,1093.21,1093.21,1093.21,1093.21
18,0.0012587,0.0010562,0.002149,0.0011255,0.0016958,0.0018252,1056.497,1048.602,1048.602,1048.602,1048.602,1048.602
19,0.001528,0.0012727,0.0017887,0.0009258,0.0006866,0.0005397,850.073,850.073,850.073,850.073,850.073,850.073
20,0.0006756,0.0005762,0.0008596,0.0005632,0.0018829,0.0019912,741.386,749.864,749.864,749.864,749.864,749.864
21,0.0012445,0.0010772,0.0021947,0.0017571,0.0026579,0.0030097,1281.102,1320.105,1320.105,1320.105,1320.105,1320.105
22,0.000993,0.0008394,0.0015186,0.0011617,0.0023016,0.0025132,799.144,786.546,786.546,786.546,786.546,786.546
23,0.001554,0.001261,0.0030407,0.0015454,0.0024847,0.002586,1146.845,1117.769,1117.769,1117.769,1117.769,1117.769
24,0.0001572,0.0001276,0.0002887,0.0001134,0.0002905,0.0002936,879.46,879.778,879.778,879.778,879.778,879.778
25,0.0006705,0.0005599,0.0010541,0.0006564,0.0010478,0.0010997,868.461,866.745,866.745,866.745,866.745,866.745
26,0.0004496,0.0003164,0.000608,0.0004022,0.000472,0.0008974,442.288,430.098,430.098,430.098,430.098,430.098
27,0.0011627,0.0009343,0.0019399,0.0010588,0.0021256,0.0022764,828.701,857.309,857.309,857.309,857.309,857.309
28,0.0011887,0.001036,0.0023169,0.0019114,0.0019844,0.002464,1321.685,1321.685,1321.685,1321.685,1321.685,1321.685
29,0.0004745,0.0004062,0.0008936,0.0005851,0.000575,0.000597,890.579,890.579,890.579,890.579,890.579,890.579
30,0.00047,0.0003846,0.0007531,0.0004688,0.0007031,0.0010545,586.726,577.023,577.023,577.023,577.023,577.023
31,0.0003071,0.0002292,0.0003328,0.0002438,0.0007079,0.0007616,423.258,413.539,413.539,413.539,413.539,413.539
32,0.0010527,0.0010168,0.0026016,0.0024667,0.0015251,0.0013818,968.591,970.56,970.56,970.56,970.56,970.56
33,0.001153,0.0009126,0.0018592,0.0010998,0.0012838,0.0014047,1359.189,1352.141,1352.141,1352.141,1352.141,1352.141
34,0.0001008,8.47E-05,0.0001162,4.86E-05,0.0001012,8.61E-05,493.244,493.244,493.244,493.244,493.244,493.244
35,0.000163,0.0001268,0.000189,0.0001341,0.000225,0.0002241,484.777,451.365,451.365,451.365,451.365,451.365
36,0.0014736,0.0012701,0.0021986,0.0014206,0.0013282,0.00134,1256.085,1256.085,1256.085,1256.085,1256.085,1256.085
37,0.0004244,0.0003066,0.0006006,0.000275,0.0005071,0.0005387,502.537,502.537,502.537,502.537,502.537,502.537
38,0.0009273,0.0007482,0.0014394,0.0004776,0.0008705,0.0016728,665.736,661.014,661.014,661.014,661.014,661.014
39,0.0007238,0.0005934,0.0010909,0.0005812,0.000673,0.0007159,1011.745,1009.885,1009.885,1009.885,1009.885,1009.885
40,0.0033596,0.0028388,0.0053946,0.0040366,0.0060155,0.0064522,1243.62,1242.319,1242.319,1242.319,1242.319,1242.319
41,0.0014125,0.0009303,0.0032841,0.0010239,0.0011492,0.0010417,855.091,855.091,855.091,855.091,855.091,855.091
42,0.0004412,0.0003246,0.0008278,0.0005908,0.0008961,0.0009484,1248.615,1244.753,1244.753,1244.753,1244.753,1244.753
43,0.0014119,0.0011687,0.0022933,0.0011214,0.0015518,0.0016463,1037.151,1024.285,1024.285,1024.285,1024.285,1024.285
44,0.0011688,0.0010013,0.0024043,0.0010472,0.0013301,0.0024742,858.99,857.177,857.177,857.177,857.177,857.177
45,0.0001986,0.0001592,0.0002958,0.0001869,0.0003736,0.0003743,616.744,616.577,616.577,616.577,616.577,616.577
46,0.0008468,0.0007003,0.0012064,0.0008412,0.001119,0.0012299,802.763,802.763,802.763,802.763,802.763,802.763
47,0.0017224,0.0015696,0.0022863,0.0011258,0.0012665,0.0011327,1312.571,1312.571,1312.571,1312.571,1312.571,1312.571
48,0.001959,0.0016095,0.0031537,0.0032531,0.0048618,0.0053679,1152.353,1149.75,1149.75,1149.75,1149.75,1149.75
49,0.0031805,0.0025686,0.0058667,0.003303,0.0048782,0.0050093,1216.176,1216.176,1216.176,1216.176,1216.176,1216.176
50,0.0010145,0.0008085,0.0013336,0.0008386,0.0017594,0.001872,1146.493,1147.675,1147.675,1147.675,1147.675,1147.675
51,0.0021919,0.001124,0.0026267,0.0017387,0.0021804,0.0023081,735.956,735.956,735.956,735.956,735.956,735.956
52,0.0001645,0.0001402,0.0002549,0.0001432,0.0002026,0.0001811,290.288,283.88,283.88,283.88,283.88,283.88
53,0.0011393,0.0008707,0.0020719,0.0011357,0.001652,0.0017012,1041.674,1040.448,1040.448,1040.448,1040.448,1040.448
54,0.0002147,0.0001715,0.0003682,0.0001902,0.0003062,0.0003564,516.018,516.018,516.018,516.018,516.018,516.018
55,0.0014978,0.0009923,0.0025659,0.0011657,0.0014566,0.0014687,826.658,755.051,755.051,755.051,755.051,755.051
56,0.0013817,0.0011281,0.0021256,0.0013515,0.0017165,0.0018546,874.68,874.68,874.68,874.68,874.68,874.68
57,0.0001601,0.0001223,0.0002007,0.0001706,0.0007354,0.0007905,304.833,304.833,304.833,304.833,304.833,304.833
58,0.0002409,0.0001501,0.0002339,0.0001492,0.0002691,0.0002685,739.927,564.899,564.899,564.899,564.899,564.899
59,0.001437,0.0011688,0.0023306,0.0010711,0.0011358,0.0011694,948.028,937.459,937.459,937.459,937.459,937.459
60,0.002939,0.0023071,0.0047278,0.003081,0.0046555,0.0049144,1038.938,1038.938,1038.938,1038.938,1038.938,1038.938
61,0.0014806,0.0011595,0.0027277,0.0014886,0.0016805,0.0012834,905.906,905.906,905.906,905.906,905.906,905.906
62,0.0003084,0.0002673,0.0003077,0.0001837,0.0005231,0.0005383,324.012,324.012,324.012,324.012,324.012,324.012
63,0.0016025,0.0012648,0.0029188,0.0022762,0.0033042,0.0033368,1034.01,1034.01,1034.01,1034.01,1034.01,1034.01
64,0.0003683,0.0003503,0.0005793,0.0004431,0.0009814,0.0011379,606.935,606.935,606.935,606.935,606.935,606.935
65,0.0004753,0.0003387,0.0012437,0.0006039,0.0003714,0.0003166,649.934,637.394,637.394,637.394,637.394,637.394
66,0.0010747,0.0009051,0.0014931,0.0008683,0.0015669,0.0016502,1182.476,1174.622,1174.622,1174.622,1174.622,1174.622
67,0.0003129,0.0002289,0.0003333,0.0002571,0.0013991,0.0015496,1239.053,1234.203,1234.203,1234.203,1234.203,1234.203
68,0.0002507,0.0002136,0.0004043,0.0002297,0.000305,0.0003103,643.405,645.664,645.664,645.664,645.664,645.664
69,0.0019593,0.0015734,0.0025243,0.0015542,0.0043231,0.0047141,1144.989,1132.662,1132.662,1132.662,1132.662,1132.662
70,0.0019905,0.0015488,0.0031604,0.0023837,0.0043188,0.0046566,1022.265,1031.247,1031.247,1031.247,1031.247,1031.247
71,0.0009025,0.0007997,0.0011933,0.0010362,0.0042678,0.004809,927.422,927.422,927.422,927.422,927.422,927.422
72,0.0008028,0.0005778,0.0010195,0.0008654,0.0012407,0.0013584,1796.673,1677.126,1677.126,1677.126,1677.126,1677.126
73,0.0002097,0.0001607,0.0002459,0.0001518,0.0002515,0.0002594,441.849,444.521,444.521,444.521,444.521,444.521
74,0.0005048,0.0003289,0.0012362,0.0003803,0.0003702,0.0003184,1031.185,1003.842,1003.842,1003.842,1003.842,1003.842
75,0.0004425,0.0003618,0.0005991,0.0003813,0.0005244,0.0008305,869.946,841.951,841.951,841.951,841.951,841.951
76,0.0011173,0.0009798,0.0016375,0.0011672,0.003171,0.003473,850.803,832.297,832.297,832.297,832.297,832.297
77,0.0015449,0.0012265,0.0025634,0.0013313,0.0013539,0.0014144,986.278,968.476,968.476,968.476,968.476,968.476
78,0.0014104,0.0010377,0.0028597,0.0014784,0.0018538,0.0018727,1047.403,1038.117,1038.117,1038.117,1038.117,1038.117
79,0.0001484,0.000117,0.0001191,9.79E-05,0.000434,0.0004594,151.106,151.106,151.106,151.106,151.106,151.106
80,0.0009639,0.0007721,0.0012814,0.0008648,0.0011976,0.0012977,1217.103,1216.819,1216.819,1216.819,1216.819,1216.819
81,0.0008378,0.0007121,0.0012385,0.0006859,0.0007974,0.0008349,1331.619,1331.619,1331.619,1331.619,1331.619,1331.619
82,0.0010797,0.0008223,0.0018103,0.0008192,0.002372,0.0018029,1129.328,1129.328,1129.328,1129.328,1129.328,1129.328
83,0.0003383,0.0002719,0.0005183,0.0002676,0.0004423,0.0004723,394.469,394.469,394.469,394.469,394.469,394.469
84,0.0006666,0.0004939,0.0012361,0.0005118,0.0013721,0.0014886,951.803,951.803,951.803,951.803,951.803,951.803
85,0.0022279,0.0018118,0.0033053,0.0022899,0.0044155,0.0041684,1180.84,1180.84,1180.84,1180.84,1180.84,1180.84
86,0.0005502,0.0004729,0.0008684,0.0005053,0.0014009,0.0006822,542.096,542.096,542.096,542.096,542.096,542.096
87,0.0009372,0.0008304,0.0020383,0.0010153,0.0012671,0.0013312,836.571,836.571,836.571,836.571,836.571,836.571
88,0.0002312,0.0001687,0.0003816,0.0002578,0.0003148,0.0003125,631.747,631.747,631.747,631.747,631.747,631.747
89,0.0002235,9.49E-05,0.0001532,0.000112,0.0002287,0.0002249,457.433,454.9,454.9,454.9,454.9,454.9
90,0.0024019,0.0021258,0.0048699,0.0058169,0.006195,0.006147,1239.992,1231.356,1231.356,1231.356,1231.356,1231.356
91,0.00043,0.0003379,0.000858,0.0005234,0.0006596,0.0006879,1068.234,1050.416,1050.416,1050.416,1050.416,1050.416
92,0.0002261,0.0001903,0.0001882,0.0001534,0.0004221,0.0004774,734.481,734.048,734.048,734.048,734.048,734.048
