point_index,bidirectional_dijkstra_time,nx_bidirectional_dijkstra_time,dijkstras_time,nx_dijkstra_time,A_star_time,nx_A_star_time,bidirectional_dijkstra_cost,nx_bidirectional_dijkstra_cost,dijkstras_cost,nx_dijkstra_cost,A_star_cost,nx_A_star_cost
0,0.0019261,0.0013864,0.0019196,0.0014544,0.0035008,0.0035541,11178.941,11163.105,11163.105,11163.105,11163.105,11163.105
1,0.0008833,0.0008039,0.0017449,0.0013848,0.0029035,0.0044697,7064.264,7057.487,7057.487,7057.487,7057.487,7057.487
2,0.002673,0.0019286,0.0030041,0.0018011,0.0034251,0.0027527,6615.643,6147.19,6147.19,6147.19,6147.19,6147.19
3,0.0012872,0.0010363,0.0021855,0.0025089,0.005612,0.0065573,10447.367,10373.993,10373.993,10373.993,10373.993,10373.993
4,0.0013544,0.0007746,0.0017018,0.0009127,0.0017035,0.0018857,7553.087,7482.374,7482.374,7482.374,7482.374,7482.374
5,0.0009828,0.0008482,0.001784,0.0011269,0.0013595,0.0014538,5731.148,5741.418,5741.418,5741.418,5741.418,5741.418
6,0.001526,0.001228,0.0015724,0.0014208,0.0034802,0.0038204,10485.977,10485.977,10485.977,10485.977,10485.977,10485.977
7,0.000852,0.0007033,0.0017378,0.0005065,0.0014858,0.0015916,7940.786,7943.699,7943.699,7943.699,7943.699,7943.699
8,0.0011488,0.0010194,0.0016981,0.0015191,0.0079348,0.0078045,7924.32,7924.32,7924.32,7924.32,7924.32,7924.32
9,0.0019424,0.0014227,0.0031667,0.0017849,0.0046216,0.0050532,6623.117,6485.016,6485.016,6485.016,6485.016,6485.016
10,0.0021066,0.0019549,0.0025684,0.0022642,0.0033589,0.003094,13589.974,13589.974,13589.974,13589.974,13589.974,13589.974
11,0.0006789,0.0007262,0.0030716,0.0015859,0.00179,0.0019759,6789.537,6789.537,6789.537,6789.537,6789.537,6789.537
12,0.0010066,0.0008286,0.0016955,0.0016406,0.0076665,0.008532,8136.318,8136.318,8136.318,8136.318,8136.318,8136.318
13,0.0026467,0.00192,0.0028392,0.0020151,0.0058425,0.0030439,11487.329,11325.986,11325.986,11325.986,11325.986,11325.986
14,0.0014581,0.0011304,0.0026019,0.0015441,0.0028928,0.0051443,9984.545,9984.545,9984.545,9984.545,9984.545,9984.545
15,0.0011142,0.0008692,0.0036051,0.0021432,0.0025625,0.0024382,8321.824,8311.09,8311.09,8311.09,8311.09,8311.09
16,0.0010833,0.0008522,0.0031132,0.0021167,0.0024618,0.0021823,7379.377,7379.377,7379.377,7379.377,7379.377,7379.377
17,0.0014135,0.0011516,0.0026299,0.0010762,0.0026416,0.0027831,7849.405,7849.405,7849.405,7849.405,7849.405,7849.405
18,0.0012518,0.0009345,0.0025431,0.0017482,0.0022267,0.0023619,10851.561,10851.561,10851.561,10851.561,10851.561,10851.561
19,0.0016882,0.0014661,0.0026322,0.0022641,0.0137769,0.0119032,13035.074,13035.074,13035.074,13035.074,13035.074,13035.074
20,0.0014558,0.0012342,0.0025728,0.0021779,0.0044377,0.0047831,7329.13,7347.793,7347.793,7347.793,7347.793,7347.793
21,0.0017618,0.0015347,0.0025516,0.0023894,0.0070131,0.0056286,9537.241,9555.904,9555.904,9555.904,9555.904,9555.904
22,0.0013658,0.000727,0.0017436,0.0013446,0.0023139,0.0026827,7593.885,7598.931,7598.931,7598.931,7598.931,7598.931
23,0.0008963,0.0008827,0.0017256,0.0015919,0.0046514,0.0052962,12416.285,12416.285,12416.285,12416.285,12416.285,12416.285
24,0.0004519,0.0002777,0.0026465,0.0021466,0.0016944,0.0017451,8688.906,8688.906,8688.906,8688.906,8688.906,8688.906
25,0.0010895,0.000939,0.001694,0.0012595,0.0012938,0.0013508,6337.781,6323.047,6323.047,6323.047,6323.047,6323.047
26,0.0008638,0.0008058,0.0024172,0.0010367,0.0021431,0.0023119,6403.686,6314.513,6314.513,6314.513,6314.513,6314.513
27,0.0014759,0.001462,0.0015584,0.0014651,0.0027107,0.0031911,12699.911,12707.956,12707.956,12707.956,12707.956,12707.956
28,0.0010694,0.000571,0.0014921,0.0011478,0.0008833,0.0010817,6795.706,6795.706,6795.706,6795.706,6795.706,6795.706
29,0.0007465,0.0005509,0.0025388,0.0012965,0.0021105,0.0024713,11439.669,11439.669,11439.669,11439.669,11439.669,11439.669
30,0.0006985,0.0003378,0.0018037,0.0010644,0.00107,0.0011755,7505.571,7503.418,7503.418,7503.418,7503.418,7503.418
31,0.0006706,0.0004714,0.0017571,0.0010591,0.0010779,0.0011601,8424.388,8300.197,8413.654,8300.197,8413.654,8413.654
32,0.0010052,0.0008439,0.0017199,0.0011246,0.0028741,0.0032793,8153.961,8085.652,8085.652,8085.652,8085.652,8085.652
33,0.0011732,0.0012435,0.0014123,0.0014575,0.0026221,0.0022249,10034.659,10031.746,10031.746,10031.746,10031.746,10031.746
34,0.000907,0.0007319,0.0017119,0.0005812,0.0011082,0.0011682,8297.11,8297.11,8297.11,8297.11,8297.11,8297.11
35,0.0014636,0.0011285,0.0016045,0.0013886,0.0025536,0.0027862,8759.999,8723.219,8723.219,8723.219,8723.219,8723.219
36,0.0007522,0.0005474,0.0017164,0.0003559,0.0009136,0.0009427,5411.643,5389.167,5389.167,5389.167,5389.167,5389.167
37,0.0006747,0.0006188,0.0031697,0.0026524,0.0035021,0.0036389,8179.555,8168.821,8168.821,8168.821,8168.821,8168.821
38,0.0016789,0.0012378,0.0014518,0.0025347,0.0023556,0.0029658,13489.647,13489.647,13489.647,13489.647,13489.647,13489.647
39,0.0013026,0.0011897,0.0017023,0.001356,0.0042709,0.0048482,10258.638,10208.584,10208.584,10208.584,10208.584,10208.584
40,0.0013468,0.0010529,0.0016808,0.0013995,0.0022069,0.002424,9330.979,9333.291,9333.291,9333.291,9333.291,9333.291
41,0.0015102,0.0014179,0.0017146,0.0015082,0.0031894,0.0033861,12860.094,12836.783,12836.783,12836.783,12836.783,12836.783
42,0.0008091,0.0006198,0.0016815,0.0019901,0.0044491,0.0054282,7984.397,7984.397,7984.397,7984.397,7984.397,7984.397
43,0.0016312,0.001248,0.0025418,0.0020891,0.0037476,0.0040573,7134.365,6887.184,6887.184,6887.184,6887.184,6887.184
44,0.0014175,0.0010878,0.00251,0.001348,0.0032427,0.0034997,7319.939,7319.939,7319.939,7319.939,7319.939,7319.939
45,0.0015544,0.0013201,0.002505,0.0019921,0.0062229,0.0069352,7174.446,7100.82,7100.82,7100.82,7100.82,7100.82
46,0.0014442,0.0012025,0.002576,0.0008552,0.0025395,0.0026723,6209.423,6206.45,6206.45,6206.45,6206.45,6206.45
47,0.0015381,0.0012948,0.0025409,0.0015927,0.0043271,0.0050739,8061.548,8044.869,8044.869,8044.869,8044.869,8044.869
48,0.0016949,0.0007887,0.0017178,0.0014059,0.0019603,0.0018077,8038.126,7982.689,7982.689,7982.689,7982.689,7982.689
49,0.0014262,0.0012498,0.0017143,0.0014868,0.0031454,0.003565,14868.236,14795.991,14795.991,14795.991,14795.991,14795.991
50,0.00067,0.0004667,0.0016957,0.0009283,0.0011976,0.0012891,8101.776,8102.028,8102.028,8102.028,8102.028,8102.028
51,0.0014351,0.0012955,0.0017195,0.0015603,0.0052347,0.0060314,14677.866,14678.118,14678.118,14678.118,14678.118,14678.118
52,0.0008209,0.0006439,0.0016985,0.0013433,0.002908,0.0033117,6988.132,6988.132,6988.132,6988.132,6988.132,6988.132
53,0.0011295,0.0009729,0.0016865,0.0007063,0.0013115,0.0014256,7451.558,7458.335,7458.335,7458.335,7458.335,7458.335
54,0.0013368,0.0012187,0.001693,0.001418,0.0033779,0.0038646,15299.519,14414.77,15299.519,14414.77,15299.519,15299.519
55,0.0010524,0.0008736,0.0019241,0.0008409,0.0023862,0.0027143,6867.591,6867.591,6867.591,6867.591,6867.591,6867.591
56,0.0011532,0.0009693,0.002455,0.0018893,0.0061675,0.0065869,6957.799,6860.286,6860.286,6860.286,6860.286,6860.286
57,0.0014932,0.0012537,0.0025583,0.0022963,0.0042904,0.0047121,8164.175,8016.428,8016.428,8016.428,8016.428,8016.428
58,0.0020778,0.0019382,0.0024978,0.0020576,0.006705,0.0074163,14535.549,14555.101,14555.101,14555.101,14555.101,14555.101
59,0.0014554,0.0011729,0.0025773,0.0019314,0.0051124,0.0056461,6815.209,6818.966,6818.966,6818.966,6818.966,6818.966
60,0.0011368,0.000819,0.0025372,0.0017053,0.0017083,0.0017272,5223.702,5209.166,5209.166,5209.166,5209.166,5209.166
61,0.001702,0.0015406,0.0026048,0.0018771,0.0021747,0.0022825,9889.894,9889.894,9889.894,9889.894,9889.894,9889.894
62,0.0017112,0.0014935,0.0026488,0.0007693,0.0013942,0.0011585,8390.214,8398.032,8398.032,8398.032,8398.032,8398.032
63,0.0010002,0.0019493,0.0027912,0.0016071,0.0018666,0.0020646,11955.884,11955.884,11955.884,11955.884,11955.884,11955.884
64,0.000974,0.000856,0.0032802,0.0019337,0.0023243,0.0025827,9953.751,9953.751,9953.751,9953.751,9953.751,9953.751
65,0.0011963,0.001048,0.001704,0.0008238,0.001001,0.0010102,7818.471,7818.471,7818.471,7818.471,7818.471,7818.471
66,0.0011961,0.0010635,0.0016965,0.0013781,0.0019217,0.0021193,6835.559,6839.505,6839.505,6839.505,6839.505,6839.505
67,0.0013274,0.0012427,0.00176,0.0013174,0.0020442,0.0012945,12682.886,12682.886,12682.886,12682.886,12682.886,12682.886
68,0.0016206,0.0018967,0.0024972,0.0015857,0.0042457,0.0064983,10595.348,10577.559,10577.559,10577.559,10577.559,10577.559
69,0.0014252,0.0011154,0.0017806,0.0015578,0.0056348,0.0058929,16454.194,16454.446,16454.446,16454.446,16454.446,16454.446
70,0.0011799,0.0010459,0.0016588,0.0010236,0.0014571,0.00128,10893.014,10784.271,10784.271,10784.271,10784.271,10784.271
71,0.0006227,0.0005357,0.0017138,0.0012913,0.002886,0.0031278,7285.353,7282.673,7282.673,7282.673,7282.673,7282.673
72,0.0016818,0.0011641,0.0019222,0.0005231,0.0016806,0.0016081,6548.949,6551.862,6551.862,6551.862,6551.862,6551.862
73,0.0013031,0.0013862,0.001781,0.0013615,0.0017417,0.0019175,10683.171,10646.391,10646.391,10646.391,10646.391,10646.391
74,0.0011379,0.0009899,0.0016552,0.0014986,0.003777,0.0056981,14516.59,14516.59,14516.59,14516.59,14516.59,14516.59
75,0.0012338,0.0009503,0.0016609,0.0013206,0.0025817,0.0038864,7830.653,7812.864,7812.864,7812.864,7812.864,7812.864
76,0.0013839,0.001067,0.0016765,0.0010526,0.0013179,0.0013861,9538.165,9538.165,9538.165,9538.165,9538.165,9538.165
77,0.0013057,0.0011886,0.0015342,0.0018998,0.0059073,0.0059027,14723.67,14562.327,14562.327,14562.327,14562.327,14562.327
78,0.0013365,0.0010145,0.0016668,0.0014794,0.0028159,0.0032235,13829.729,13676.905,13676.905,13676.905,13676.905,13676.905
79,0.0007461,0.0009072,0.0016809,0.0009482,0.0016228,0.0014572,9592.12,9592.12,9592.12,9592.12,9592.12,9592.12
80,0.0011073,0.0009127,0.0017772,0.0011911,0.0022775,0.0044003,8907.638,8907.638,8907.638,8907.638,8907.638,8907.638
81,0.0009879,0.0006882,0.0018591,0.0010816,0.0010496,0.0012435,8825.043,8825.043,8825.043,8825.043,8825.043,8825.043
82,0.0012501,0.0011012,0.0017522,0.0013422,0.0022183,0.0027602,11091.545,11096.363,11096.363,11096.363,11096.363,11096.363
83,0.0009843,0.000836,0.0015357,0.0005174,0.0012339,0.0012824,6823.61,6857.42,6857.42,6857.42,6857.42,6857.42
84,0.0013322,0.0012543,0.0017185,0.0014248,0.0051891,0.0137993,11595.994,11595.994,11595.994,11595.994,11595.994,11595.994
85,0.0010567,0.0007204,0.0026023,0.0018804,0.0027373,0.0029349,9326.099,9299.22,9299.22,9299.22,9299.22,9299.22
86,0.0013248,0.0010161,0.0026328,0.0022561,0.0081958,0.0090714,7808.527,7808.527,7808.527,7808.527,7808.527,7808.527
87,0.0011725,0.0008466,0.0025763,0.0018171,0.0026088,0.0029667,5568.612,5568.734,5568.734,5568.734,5568.734,5568.734
88,0.0017427,0.001483,0.0025655,0.0010639,0.0027848,0.0033771,10450.495,10450.495,10450.495,10450.495,10450.495,10450.495
89,0.0021489,0.0015532,0.0016548,0.0013171,0.0024642,0.0027239,9585.216,9400.388,9400.388,9400.388,9400.388,9400.388
90,0.0011961,0.0009256,0.0016653,0.0014027,0.0036031,0.0056073,8985.904,8985.904,8985.904,8985.904,8985.904,8985.904
91,0.0009928,0.0008002,0.0017267,0.0015811,0.0026133,0.0027889,9355.15,9355.15,9355.15,9355.15,9355.15,9355.15
92,0.001523,0.0012585,0.0022768,0.0014019,0.0059406,0.0053708,8058.304,8058.304,8058.304,8058.304,8058.304,8058.304
93,0.0014857,0.0012555,0.0025914,0.0011141,0.0035747,0.0040906,6631.989,6581.018,6581.018,6581.018,6581.018,6581.018
94,0.001763,0.0014767,0.0025462,0.0012554,0.0027976,0.0028996,7929.081,7714.862,7714.862,7714.862,7714.862,7714.862
95,0.0031868,0.002878,0.0028793,0.0023074,0.0078913,0.0054811,14901.585,14894.808,14894.808,14894.808,14894.808,14894.808
96,0.001872,0.0016218,0.0024844,0.0013846,0.0024389,0.004693,7468.646,7483.993,7483.993,7483.993,7483.993,7483.993
97,0.0007159,0.0005412,0.0017848,0.0012371,0.0015139,0.0014928,8047.246,8047.246,8047.246,8047.246,8047.246,8047.246
98,0.0010345,0.000812,0.0015638,0.0008088,0.0030884,0.0027396,8203.122,8068.737,8068.737,8068.737,8068.737,8068.737
99,0.0006447,0.0004879,0.0016737,0.0007039,0.0017229,0.0019431,8560.996,8560.996,8560.996,8560.996,8560.996,8560.996
,0.001271613,0.00106068,0.002076113,0.001467266,0.00302482,0.003336696,,,,,,
