point_index,bidirectional_dijkstra_time,nx_bidirectional_dijkstra_time,dijkstras_time,nx_dijkstra_time,A_star_time,nx_A_star_time,bidirectional_dijkstra_cost,nx_bidirectional_dijkstra_cost,dijkstras_cost,nx_dijkstra_cost,A_star_cost,nx_A_star_cost
0,0.0004824,0.0001319,0.0030657,0.00024,0.0009837,0.0008141,750.697,750.697,750.697,750.697,750.697,750.697
1,0.0008212,0.0002487,0.0026145,0.0002834,0.0005908,0.0004757,644.795,644.795,644.795,644.795,644.795,644.795
2,0.0006796,0.0003283,0.002563,0.0006303,0.000932,0.0008537,1194.383,1194.383,1194.383,1194.383,1194.383,1194.383
3,0.0005756,0.000248,0.0025321,0.0002536,0.0009881,0.0003737,660.57,660.57,660.57,660.57,660.57,660.57
4,0.0003303,0.0001309,0.0015333,0.0001232,0.0002844,0.00021,602.118,602.118,602.118,602.118,602.118,602.118
5,0.0002615,6.00E-05,0.0031328,0.0001579,0.0005983,0.0004155,965.533,965.533,965.533,965.533,965.533,965.533
6,0.0005093,4.81E-05,0.0015059,1.66E-05,0.0001398,3.34E-05,130.04,130.04,130.04,130.04,130.04,130.04
7,0.0004442,0.0002619,0.002347,0.0003202,0.0005311,0.0009362,695.046,695.046,695.046,695.046,695.046,695.046
8,0.0004028,0.000221,0.002074,0.0004589,0.0006347,0.0005683,812.178,774.242,774.242,774.242,774.242,774.242
9,0.0004801,0.0002076,0.001945,0.0001539,0.0003216,0.00023,587.666,587.666,587.666,587.666,587.666,587.666
10,0.0003021,7.20E-05,0.0016153,9.07E-05,0.0002786,0.000196,2346.621,2346.621,2346.621,2346.621,2346.621,2346.621
11,0.0004547,0.0004994,0.0023555,0.0004061,0.0005798,0.001206,1129.689,1080.828,1080.828,1080.828,1080.828,1080.828
12,0.0008357,0.0004567,0.0028612,0.0008014,0.0015798,0.0013006,973.571,973.571,973.571,973.571,973.571,973.571
13,0.0005252,0.0001896,0.0025516,0.0002348,0.0007064,0.0005979,404.912,397.081,397.081,397.081,397.081,397.081
14,0.0006445,0.0003144,0.0025246,0.000299,0.000706,0.0006641,780.553,780.553,780.553,780.553,780.553,780.553
15,0.0005047,0.0001492,0.002527,8.57E-05,0.0006071,0.0004986,644.71,603.458,603.458,603.458,603.458,603.458
16,0.0005582,0.0002098,0.0025561,0.0003799,0.000846,0.000768,749.988,749.988,749.988,749.988,749.988,749.988
17,0.0006035,0.0002516,0.0026438,0.0004608,0.0006065,0.0005116,1078.229,1018.588,1018.588,1018.588,1018.588,1018.588
18,0.0002553,5.31E-05,0.0031991,0.0001626,0.0004729,0.0002815,933.704,933.704,933.704,933.704,933.704,933.704
19,0.0004341,3.68E-05,0.0025437,1.97E-05,0.0001687,4.85E-05,174.011,159.858,159.858,159.858,159.858,159.858
20,0.000278,7.02E-05,0.0014238,5.57E-05,0.0002205,0.0002279,310.431,286.821,286.821,286.821,286.821,286.821
21,0.0004932,6.92E-05,0.0028623,6.20E-05,0.0002313,0.0001284,181.919,181.919,181.919,181.919,181.919,181.919
22,0.0003755,0.0001752,0.0014423,0.0002232,0.0002188,0.0001392,1092.728,763.811,763.811,763.811,763.811,763.811
23,0.0007792,0.0004863,0.0027723,0.0002744,0.0005495,0.0005058,1155.818,1155.818,1155.818,1155.818,1155.818,1155.818
24,0.0005252,0.0003243,0.0017077,0.0003566,0.0005569,0.001066,1018.847,1018.847,1018.847,1018.847,1018.847,1018.847
25,0.0007458,0.0003526,0.0025499,0.0003019,0.0005213,0.0004378,1012.617,938.186,938.186,938.186,938.186,938.186
26,0.0003425,9.11E-05,0.0017489,6.04E-05,0.0003972,0.0003193,767.617,767.617,767.617,767.617,767.617,767.617
27,0.0003336,0.000117,0.0017164,0.0005821,0.0008043,0.000795,2492.72,2492.72,2492.72,2492.72,2492.72,2492.72
28,0.0003287,9.76E-05,0.0017127,7.89E-05,0.000261,0.0001743,644.368,633.425,633.425,633.425,633.425,633.425
29,0.0003986,0.0001846,0.0017133,0.0004075,0.0002211,0.0001203,509.545,509.545,509.545,509.545,509.545,509.545
30,0.0002808,9.48E-05,0.0014932,0.0001134,0.0002674,0.0001716,572.053,572.053,572.053,572.053,572.053,572.053
31,0.0002675,4.30E-05,0.0017073,3.54E-05,0.0002,9.74E-05,214.705,214.705,214.705,214.705,214.705,214.705
32,0.0003095,9.02E-05,0.0017371,0.000165,0.0004636,0.0004041,3026.541,3026.541,3026.541,3026.541,3026.541,3026.541
33,0.0003023,7.06E-05,0.0017262,7.57E-05,0.0002129,0.0001101,424.192,424.192,424.192,424.192,424.192,424.192
34,0.0004629,0.000258,0.0016939,0.0003093,0.0006895,0.0007015,840.626,840.626,840.626,840.626,840.626,840.626
35,0.0003525,0.0001274,0.0017138,0.0003011,0.0005202,0.0004882,1709.579,1709.579,1709.579,1709.579,1709.579,1709.579
