point_index,bidirectional_dijkstra_time,nx_bidirectional_dijkstra_time,dijkstras_time,nx_dijkstra_time,A_star_time,nx_A_star_time,bidirectional_dijkstra_cost,nx_bidirectional_dijkstra_cost,dijkstras_cost,nx_dijkstra_cost,A_star_cost,nx_A_star_cost
0,0.000191,0.0001427,0.0002077,0.0001204,0.0005213,0.0005475,750.697,750.697,750.697,750.697,750.697,750.697
1,0.0001753,0.0001539,0.0002284,0.0001544,0.0002051,0.00023,644.795,644.795,644.795,644.795,644.795,644.795
2,0.0004141,0.0003244,0.0004749,0.0003552,0.0004848,0.0004715,1194.383,1194.383,1194.383,1194.383,1194.383,1194.383
3,0.0001765,0.0001507,0.0002418,0.0001458,0.0003241,0.0004975,660.57,660.57,660.57,660.57,660.57,660.57
4,0.0002475,0.000205,0.0002162,0.00014,0.0003056,0.0003046,602.118,602.118,602.118,602.118,602.118,602.118
5,8.12E-05,5.79E-05,9.30E-05,5.77E-05,0.0001762,0.0004475,965.533,965.533,965.533,965.533,965.533,965.533
6,2.60E-05,1.75E-05,2.02E-05,7.80E-06,3.37E-05,1.92E-05,130.04,130.04,130.04,130.04,130.04,130.04
7,0.0001853,0.0001489,0.0002843,0.0001871,0.00033,0.0003877,695.046,695.046,695.046,695.046,695.046,695.046
8,0.0002778,0.0003345,0.0003296,0.0002506,0.0003702,0.0003972,812.178,774.242,774.242,774.242,774.242,774.242
9,0.0002916,0.0002367,0.0003957,0.0001915,0.0004981,0.0005236,587.666,587.666,587.666,587.666,587.666,587.666
10,8.96E-05,7.22E-05,8.00E-05,6.71E-05,0.0002146,0.0002313,2346.621,2346.621,2346.621,2346.621,2346.621,2346.621
11,0.0002902,0.0002569,0.0003559,0.0002646,0.0003688,0.0003946,1129.689,1080.828,1080.828,1080.828,1080.828,1080.828
12,0.0003224,0.0004275,0.0004176,0.0002537,0.0004621,0.0004971,973.571,973.571,973.571,973.571,973.571,973.571
13,0.0001135,0.0001057,0.0001236,9.29E-05,0.000216,0.000226,404.912,397.081,397.081,397.081,397.081,397.081
14,0.0002116,0.0001837,0.0003026,0.0001538,0.000246,0.0002498,780.553,780.553,780.553,780.553,780.553,780.553
15,0.0001056,8.45E-05,0.0001233,4.92E-05,0.0001848,0.0001912,644.71,603.458,603.458,603.458,603.458,603.458
16,0.0001666,0.0001279,0.0007034,0.0003264,0.0006685,0.0007033,749.988,749.988,749.988,749.988,749.988,749.988
17,0.0002123,0.0001845,0.0003627,0.0002568,0.0011244,0.000524,1078.229,1018.588,1018.588,1018.588,1018.588,1018.588
18,6.90E-05,5.40E-05,7.70E-05,5.60E-05,0.0001418,0.0001482,933.704,933.704,933.704,933.704,933.704,933.704
19,2.29E-05,1.91E-05,1.27E-05,1.12E-05,4.52E-05,3.47E-05,174.011,159.858,159.858,159.858,159.858,159.858
20,7.70E-05,6.93E-05,7.02E-05,4.83E-05,0.0001331,0.0001478,310.431,286.821,286.821,286.821,286.821,286.821
21,4.35E-05,3.71E-05,3.96E-05,3.40E-05,0.0001036,9.93E-05,181.919,181.919,181.919,181.919,181.919,181.919
22,0.0002448,0.0002053,0.0003573,0.0002298,0.0001627,0.0001499,1092.728,763.811,763.811,763.811,763.811,763.811
23,0.000271,0.000229,0.0004188,0.0002143,0.0004346,0.0004254,1155.818,1155.818,1155.818,1155.818,1155.818,1155.818
24,0.0002992,0.0002755,0.000383,0.0004618,0.0004859,0.0005315,1018.847,1018.847,1018.847,1018.847,1018.847,1018.847
25,0.000217,0.0001793,0.000338,0.0001723,0.0003767,0.0003374,1012.617,938.186,938.186,938.186,938.186,938.186
26,8.13E-05,6.89E-05,5.71E-05,4.56E-05,0.0002144,0.0002393,767.617,767.617,767.617,767.617,767.617,767.617
27,0.0001104,8.89E-05,0.0001141,0.0001164,0.0005548,0.0005455,2492.72,2492.72,2492.72,2492.72,2492.72,2492.72
28,0.0001013,8.38E-05,0.0001402,5.57E-05,0.0001488,0.0001503,644.368,633.425,633.425,633.425,633.425,633.425
29,0.0001792,0.0001608,0.0002414,0.0001256,0.0001319,0.0001215,509.545,509.545,509.545,509.545,509.545,509.545
