point_index,bidirectional_dijkstra_time,nx_bidirectional_dijkstra_time,dijkstras_time,nx_dijkstra_time,A_star_time,nx_A_star_time,bidirectional_dijkstra_cost,nx_bidirectional_dijkstra_cost,dijkstras_cost,nx_dijkstra_cost,A_star_cost,nx_A_star_cost
0,0.1852992,0.0429551,0.0625192,0.0435251,0.0640454,0.0380619,14288.624,14276.331,14276.331,14276.331,14276.331,14276.331
1,0.0157157,0.0069167,0.0668147,0.0132344,0.0126092,0.0060604,5754.682,5770.814,5770.814,5770.814,5770.814,5770.814
2,0.0152244,0.0101852,0.0559415,0.0167419,0.1144824,0.0069911,6416.197,6325.641,6325.641,6325.641,6325.641,6325.641
3,0.0488318,0.0416173,0.0607876,0.0777964,0.1354009,0.1089264,13702.531,13687.066,13687.066,13687.066,13687.066,13687.066
4,0.0157926,0.0110203,0.0521429,0.0529398,0.0307734,0.0331896,7022.145,7113.472,7113.472,7113.472,7113.472,7113.472
5,0.0397653,0.0409121,0.0645747,0.1599493,0.0592633,0.0671669,10952.708,11193.168,11193.168,11193.168,11193.168,11193.168
6,0.0293137,0.0250081,0.0551165,0.0336282,0.0271192,0.0338099,6260.483,6154.227,6154.227,6154.227,6154.227,6154.227
7,0.0476202,0.0435454,0.0530551,0.074152,0.1857427,0.0927957,12517.315,12487.805,12487.805,12487.805,12487.805,12487.805
8,0.0308919,0.0288649,0.0665786,0.0420621,0.0330728,0.0243347,6798.991,6807.128,6807.128,6807.128,6807.128,6807.128
9,0.0443392,0.0326134,0.067832,0.0506214,0.0874341,0.0531447,9755.541,9740.466,9740.466,9740.466,9740.466,9740.466
10,0.0227489,0.1260475,0.0606894,0.026436,0.0175919,0.0171542,10280.633,10280.633,10280.633,10280.633,10280.633,10280.633
11,0.0184662,0.0150857,0.0521958,0.0176125,0.0175198,0.0154881,7440.603,7435.909,7435.909,7435.909,7435.909,7435.909
12,0.0306926,0.0305191,0.0731125,0.0628688,0.0701189,0.1205982,12919.765,12964.997,12965.608,12964.997,12965.608,12965.608
13,0.1275325,0.012875,0.0598938,0.046753,0.0469211,0.0361591,7136.507,7198.747,7198.747,7198.747,7198.747,7198.747
14,0.0397371,0.0343204,0.0536613,0.0577763,0.0533712,0.0502937,13720.042,13765.682,13765.682,13765.682,13765.682,13765.682
15,0.0191268,0.0144441,0.0508166,0.0259459,0.0120171,0.0072304,9444.869,9407.435,9407.435,9407.435,9407.435,9407.435
16,0.1645244,0.0300683,0.0567143,0.0554781,0.0403476,0.0435586,8802.948,8797.528,8797.528,8797.528,8797.528,8797.528
17,0.0408082,0.0355232,0.0625421,0.0494344,0.0471534,0.0407492,11370.576,11466.441,11466.441,11466.441,11466.441,11466.441
18,0.0453618,0.0372322,0.054453,0.0581871,0.1373176,0.0308135,11153.244,11152.591,11152.591,11152.591,11152.591,11152.591
19,0.0530462,0.0411177,0.0485516,0.0673764,0.1432181,0.1861963,15262.537,15270.631,15270.631,15270.631,15270.631,15270.631
20,0.030307,0.0225787,0.0616515,0.0203805,0.0131472,0.0144873,6107.335,6078.316,6078.316,6078.316,6078.316,6078.316
21,0.1386711,0.0189146,0.0499347,0.0304674,0.0338248,0.0197734,8600.566,8575.465,8575.465,8575.465,8575.465,8575.465
22,0.0342212,0.0428181,0.0672771,0.0361319,0.0335,0.0334369,8336.872,8298.15,8298.15,8298.15,8298.15,8298.15
23,0.0221991,0.0232589,0.0614679,0.0341015,0.0216733,0.0243613,10154.804,10516.331,10516.331,10516.331,10516.331,10516.331
