point_index,bidirectional_dijkstra_time,nx_bidirectional_dijkstra_time,dijkstras_time,nx_dijkstra_time,A_star_time,nx_A_star_time,bidirectional_dijkstra_cost,nx_bidirectional_dijkstra_cost,dijkstras_cost,nx_dijkstra_cost,A_star_cost,nx_A_star_cost
0,0.0062982,0.0007841,0.0565379,0.001317,0.0035379,0.0008505,810.804,810.804,810.804,810.804,810.804,810.804
1,0.1055611,0.0002874,0.0531439,0.0004084,0.0038062,0.0004319,493.878,481.728,481.728,481.728,481.728,481.728
2,0.0069553,0.0011248,0.0548416,0.0025652,0.0066653,0.0025465,1041.633,1041.633,1041.633,1041.633,1041.633,1041.633
3,0.0082916,0.0008809,0.0556123,0.001627,0.0050176,0.0033225,1486.109,1486.109,1486.109,1486.109,1486.109,1486.109
4,0.1089551,0.0005119,0.058964,0.0006721,0.0030554,0.0002573,815.23,682.489,682.489,682.489,682.489,682.489
5,0.0062617,0.0007238,0.0662106,0.0008858,0.0058658,0.0007084,881.109,881.109,881.109,881.109,881.109,881.109
6,0.006104,0.0001009,0.0635507,0.0001252,0.0032349,0.0001855,304.406,304.841,304.841,304.841,304.841,304.841
7,0.1114728,0.0013179,0.0543631,0.0025494,0.0064283,0.0020961,1126.308,1105.556,1105.556,1105.556,1105.556,1105.556
8,0.0063061,0.0001641,0.0550704,0.0002324,0.0039092,0.0002519,423.371,398.826,398.826,398.826,398.826,398.826
9,0.0072713,0.0015696,0.0662332,0.0020949,0.0068281,0.0022711,1346.589,1346.276,1346.276,1346.276,1346.276,1346.276
10,0.0104429,0.0012082,0.1763382,0.0015086,0.0076675,0.0032114,1236.218,1232.953,1232.953,1232.953,1232.953,1232.953
11,0.0108422,0.0016675,0.0653885,0.0019218,0.0047639,0.0022375,1113.644,1113.644,1113.644,1113.644,1113.644,1113.644
12,0.0064897,0.0007457,0.0497267,0.0010457,0.0059923,0.0019277,777.967,775.266,775.266,775.266,775.266,775.266
13,0.0098002,0.0007733,0.0698317,0.0010419,0.1013345,0.0007352,713.53,713.53,713.53,713.53,713.53,713.53
14,0.0067101,0.0005461,0.0507766,0.0008468,0.0033865,0.0004516,732.011,747.547,747.547,747.547,747.547,747.547
15,0.0064362,0.0004047,0.0494333,0.0006647,0.0031889,0.0005821,742.633,742.633,742.633,742.633,742.633,742.633
16,0.005894,0.0002715,0.0621863,0.0012174,0.1231966,0.0008939,846.674,846.674,846.674,846.674,846.674,846.674
17,0.0087289,0.0005427,0.0516426,0.0009447,0.0036633,0.0009609,664.353,658.407,658.407,658.407,658.407,658.407
18,0.0069486,0.0001789,0.0587054,0.000287,0.0051446,0.0006891,343.289,343.289,343.289,343.289,343.289,343.289
19,0.0099227,0.0005594,0.0685617,0.0006508,0.1050263,0.0006444,694.926,691.776,691.776,691.776,691.776,691.776
20,0.0066176,8.27E-05,0.0519467,0.0001137,0.0042233,0.000174,259.426,259.426,259.426,259.426,259.426,259.426
21,0.0064163,0.0006879,0.0496722,0.001608,0.006015,0.0017274,1094.999,1087.224,1087.224,1087.224,1087.224,1087.224
22,0.0110281,0.0015458,0.0666516,0.0017996,0.0042848,0.0011938,1214.138,1215.028,1215.028,1215.028,1215.028,1215.028
23,0.1087858,0.0006528,0.050656,0.0015838,0.0036836,0.0006312,976.498,976.498,976.498,976.498,976.498,976.498
24,0.0062743,0.0008657,0.056314,0.0016332,0.0041006,0.0009686,1020.758,977.81,977.81,977.81,977.81,977.81
25,0.0107116,0.000633,0.0734812,0.000979,0.0063162,0.0018824,596.67,596.67,596.67,596.67,596.67,596.67
26,0.1134308,0.0007133,0.062684,0.0012908,0.0033825,0.0006854,1309.14,1309.14,1309.14,1309.14,1309.14,1309.14
27,0.0061314,0.000362,0.0538948,0.000509,0.0030771,0.0003874,529.034,529.034,529.034,529.034,529.034,529.034
28,0.0063703,0.0006536,0.0515021,0.0011578,0.003484,0.0006169,939.583,939.583,939.583,939.583,939.583,939.583
29,0.1053243,0.0007437,0.0539386,0.0009985,0.0033607,0.0010811,1139.575,1137.645,1137.645,1137.645,1137.645,1137.645
30,0.0068994,0.0008792,0.0551608,0.00149,0.00638,0.0018973,870.446,838.493,838.493,838.493,838.493,838.493
31,0.0111493,0.0014179,0.0597744,0.0015309,0.0054219,0.0011197,1307.293,1028.861,1028.861,1028.861,1028.861,1028.861
32,0.1117424,0.0011148,0.0526771,0.0014078,0.0035793,0.0008929,905.889,905.889,905.889,905.889,905.889,905.889
33,0.0061415,0.0002491,0.0506728,0.0009893,0.0038234,0.0005298,471.492,469.697,469.697,469.697,469.697,469.697
34,0.0065055,0.0006674,0.0597406,0.0012058,0.0054697,0.0019214,947.944,880.087,880.087,880.087,880.087,880.087
35,0.1124342,0.0006153,0.0528089,0.0006289,0.0075583,0.0008171,576.036,576.036,576.036,576.036,576.036,576.036
36,0.0078712,0.0003665,0.0502614,0.0005492,0.0035455,0.0007175,463.467,632.28,632.28,632.28,632.28,632.28
37,0.0058816,0.0001391,0.0520368,0.0001865,0.0042485,0.000698,236.786,236.044,236.044,236.044,236.044,236.044
38,0.1107582,0.000626,0.0515392,0.0006461,0.0035428,0.0007154,1311.17,1223.327,1223.327,1223.327,1223.327,1223.327
39,0.0062376,0.0001457,0.0512824,0.0003509,0.0031488,0.0003855,633.501,625.139,625.139,625.139,625.139,625.139
40,0.0065139,0.0007204,0.0504242,0.0008708,0.0037722,0.0010062,1074.363,1058.99,1058.99,1058.99,1058.99,1058.99
41,0.1195398,0.0012391,0.0514539,0.0017768,0.003509,0.000683,1075.056,980.778,980.778,980.778,980.778,980.778
42,0.0061862,0.0002398,0.0551945,0.0002809,0.0029675,0.0003019,559.251,559.251,559.251,559.251,559.251,559.251
43,0.0064297,0.0004176,0.0591909,0.000906,0.0058532,0.0017697,766.332,766.332,766.332,766.332,766.332,766.332
44,0.0090249,9.44E-05,0.1585657,0.0001284,0.0031356,0.0001884,253.144,253.144,253.144,253.144,253.144,253.144
45,0.0061429,0.0003927,0.0572221,0.000829,0.0049686,0.0007282,1108.992,1000.095,1000.095,1000.095,1000.095,1000.095
46,0.0090328,0.0001605,0.0555696,0.0001192,0.003005,0.0001596,361.337,361.337,361.337,361.337,361.337,361.337
47,0.0062139,0.0002562,0.1623678,0.0003923,0.0030568,0.0003269,692.474,556.128,556.128,556.128,556.128,556.128
48,0.0061589,0.000431,0.0524195,0.000634,0.0034137,0.000608,703.886,703.886,703.886,703.886,703.886,703.886
49,0.009027,0.0021871,0.0525235,0.0059881,0.0103051,0.0108052,1509.438,1525.992,1525.992,1525.992,1525.992,1525.992
50,0.0101614,0.0011232,0.0658349,0.001278,0.1029196,0.0012883,863.701,863.713,863.713,863.713,863.713,863.713
51,0.0063861,8.01E-05,0.0525295,8.47E-05,0.006266,0.000141,296.957,296.957,296.957,296.957,296.957,296.957
52,0.0067775,0.0007523,0.051477,0.0006346,0.0030764,0.000536,694.994,694.994,694.994,694.994,694.994,694.994
53,0.0066418,0.0001959,0.0509973,0.000321,0.0031469,0.0002467,457.883,457.883,457.883,457.883,457.883,457.883
54,0.1090776,0.0001035,0.0507364,7.60E-05,0.0029409,0.0001182,283.195,283.195,283.195,283.195,283.195,283.195
