point_index,bidirectional_dijkstra_time,nx_bidirectional_dijkstra_time,dijkstras_time,nx_dijkstra_time,A_star_time,nx_A_star_time,bidirectional_dijkstra_cost,nx_bidirectional_dijkstra_cost,dijkstras_cost,nx_dijkstra_cost,A_star_cost,nx_A_star_cost
0,0.0010386,0.0006544,0.0014484,0.0008839,0.00089,0.0009219,810.804,810.804,810.804,810.804,810.804,810.804
1,0.0001908,0.0001286,0.0002966,0.0002445,0.0002981,0.0002896,493.878,481.728,481.728,481.728,481.728,481.728
2,0.001235,0.0010348,0.0025544,0.0010579,0.0017393,0.002091,1041.633,1041.633,1041.633,1041.633,1041.633,1041.633
3,0.0012381,0.00097,0.0013925,0.0008737,0.0017207,0.001862,1486.109,1486.109,1486.109,1486.109,1486.109,1486.109
4,0.0002731,0.0001783,0.0004999,0.0003675,0.0002746,0.0002356,708.864,682.489,682.489,682.489,682.489,682.489
5,0.0004033,0.0004509,0.0012881,0.0004471,0.0009607,0.0008556,881.109,881.109,881.109,881.109,881.109,881.109
6,9.31E-05,7.61E-05,0.0001251,6.32E-05,0.0002751,0.0001526,304.406,304.841,304.841,304.841,304.841,304.841
7,0.0015006,0.0011123,0.0028256,0.0015753,0.0020226,0.0021062,1126.308,1105.556,1105.556,1105.556,1105.556,1105.556
8,0.000174,0.0001394,0.0002505,0.0001537,0.0002646,0.0002505,423.371,398.826,398.826,398.826,398.826,398.826
9,0.0019234,0.0010419,0.0017245,0.0011027,0.0010736,0.0010679,1346.589,1346.276,1346.276,1346.276,1346.276,1346.276
10,0.001054,0.0008207,0.0014792,0.0010128,0.0013465,0.0014327,1236.218,1232.953,1232.953,1232.953,1232.953,1232.953
11,0.0013506,0.0011213,0.0021287,0.0014638,0.002173,0.001921,1113.644,1113.644,1113.644,1113.644,1113.644,1113.644
12,0.0006889,0.0005897,0.0010846,0.0005114,0.0007759,0.0008216,798.2,775.266,775.266,775.266,775.266,775.266
13,0.0005787,0.0004686,0.0010792,0.0006029,0.0006403,0.0006325,713.53,713.53,713.53,713.53,713.53,713.53
14,0.001117,0.0003594,0.0009507,0.0005269,0.0004939,0.0004478,732.011,747.547,747.547,747.547,747.547,747.547
15,0.0009861,0.000767,0.0012978,0.0006595,0.0010281,0.0010369,742.633,742.633,742.633,742.633,742.633,742.633
16,0.0002984,0.0002498,0.0005043,0.00036,0.0003258,0.0003445,846.674,846.674,846.674,846.674,846.674,846.674
17,0.0005694,0.0004956,0.0008963,0.0005988,0.0008349,0.0009344,664.353,658.407,658.407,658.407,658.407,658.407
18,0.0001272,0.000115,0.0001432,9.30E-05,0.0002352,0.0002524,343.289,343.289,343.289,343.289,343.289,343.289
19,0.0004386,0.0003563,0.00072,0.0004099,0.0004762,0.0004836,694.926,691.776,691.776,691.776,691.776,691.776
