point_index,bidirectional_dijkstra_time,nx_bidirectional_dijkstra_time,dijkstras_time,nx_dijkstra_time,A_star_time,nx_A_star_time,bidirectional_dijkstra_cost,nx_bidirectional_dijkstra_cost,dijkstras_cost,nx_dijkstra_cost,A_star_cost,nx_A_star_cost
0,0.0165906,0.0108849,0.0362902,0.0229287,0.0127732,0.0115444,6529.394,6466.443,6466.443,6466.443,6466.443,6466.443
1,0.109556,0.0102857,0.0339962,0.0271167,0.0140911,0.0133214,8717.626,8433.354,8433.354,8433.354,8433.354,8433.354
2,0.021662,0.0194738,0.0342485,0.0241628,0.0241512,0.0261594,9599.118,9531.295,9531.295,9531.295,9531.295,9531.295
3,0.0199711,0.0181072,0.0327057,0.0264318,0.0233022,0.0230202,8802.862,8482.965,8482.965,8482.965,8482.965,8482.965
4,0.1118481,0.0206878,0.0340684,0.0256979,0.0266889,0.0276398,11285.593,11343.883,11343.883,11343.883,11343.883,11343.883
5,0.0125108,0.0074569,0.0345055,0.010369,0.0122929,0.0113984,6936.75,6651.676,6651.676,6651.676,6651.676,6651.676
6,0.0245193,0.0188319,0.0336922,0.0304424,0.0290884,0.0305326,9211.869,9191.459,9191.459,9191.459,9191.459,9191.459
7,0.1201306,0.0316167,0.0339144,0.0333404,0.0481084,0.0501867,16101.378,16213.282,16213.282,16213.282,16213.282,16213.282
8,0.0157377,0.0135142,0.0343505,0.0316099,0.0228245,0.0224286,9876.145,9893.289,9893.289,9893.289,9893.289,9893.289
9,0.1054928,0.0097377,0.0359465,0.0110767,0.0116655,0.0106844,7601.79,7527.585,7527.585,7527.585,7527.585,7527.585
10,0.0130464,0.009922,0.0322198,0.019086,0.0128433,0.0140763,6831.403,6851.62,6851.62,6851.62,6851.62,6851.62
11,0.0221969,0.0190107,0.0357536,0.0211269,0.0186644,0.0179559,10740.486,10527.328,10527.328,10527.328,10527.328,10527.328
12,0.0224777,0.0218093,0.0344333,0.0326683,0.1258944,0.0369887,12375.585,12145.542,12145.542,12145.542,12145.542,12145.542
13,0.021182,0.0150453,0.0341246,0.0298702,0.0338624,0.0355188,11111.042,10821.038,10821.038,10821.038,10821.038,10821.038
14,0.0104091,0.006483,0.0353954,0.0097833,0.00822,0.0066191,7761.793,7998.021,7998.021,7998.021,7998.021,7998.021
15,0.0270291,0.027311,0.0332173,0.0325111,0.0369294,0.0380041,14852.887,14679.215,14679.215,14679.215,14679.215,14679.215
16,0.1104208,0.0184574,0.0355531,0.021934,0.0161069,0.0151021,9213.011,9202.969,9202.969,9202.969,9202.969,9202.969
17,0.0225969,0.0214108,0.0341339,0.0308112,0.0314888,0.03617,11128.754,11103.117,11103.117,11103.117,11103.117,11103.117
18,0.027972,0.0270968,0.0473064,0.0507493,0.0905777,0.0442311,11658.153,11776.186,11776.186,11776.186,11776.186,11776.186
19,0.1402268,0.0313299,0.0502277,0.0468402,0.021823,0.0262173,10457.323,10464.181,10464.181,10464.181,10464.181,10464.181
20,0.0123101,0.0082038,0.0390974,0.0377754,0.006685,0.0050042,7292.354,7289.209,7289.209,7289.209,7289.209,7289.209
21,0.0282283,0.02274,0.0395605,0.0333702,0.0411139,0.044425,11775.204,11492.078,11492.078,11492.078,11492.078,11492.078
22,0.0228482,0.0214712,0.0533378,0.0390847,0.0250494,0.0278772,10091.874,10048.046,10048.046,10048.046,10048.046,10048.046
23,0.1387408,0.0139872,0.0545477,0.027165,0.0133801,0.010419,7346.743,7202.576,7202.576,7202.576,7202.576,7202.576
24,0.0250734,0.0160996,0.046075,0.0159001,0.0218524,0.0215044,9449.618,8675.57,8675.57,8675.57,8675.57,8675.57
25,0.0143612,0.0108777,0.0402955,0.0227368,0.0129151,0.0094613,5488.746,5824.527,5824.527,5824.527,5824.527,5824.527
26,0.1271694,0.0131432,0.0565009,0.0263459,0.0228855,0.0144207,6858.497,6949.135,6949.135,6949.135,6949.135,6949.135
27,0.0152703,0.0097711,0.0487964,0.0376984,0.0192866,0.0186717,7756.994,7759.192,7759.192,7759.192,7759.192,7759.192
28,0.0364142,0.0368384,0.0485351,0.0480171,0.046832,0.0335078,11635.072,11115.424,11115.424,11115.424,11115.424,11115.424
29,0.1256221,0.0176645,0.0447064,0.0369173,0.0195098,0.031908,10451.66,10559.758,10559.758,10559.758,10559.758,10559.758
30,0.0213559,0.0141623,0.0450344,0.0182861,0.041372,0.0447378,8285.842,8274.071,8274.071,8274.071,8274.071,8274.071
31,0.0306455,0.0262885,0.0531956,0.0400065,0.0446656,0.0345938,10066.415,10191.853,10191.853,10191.853,10191.853,10191.853
32,0.0326821,0.0220187,0.159365,0.0324881,0.0478787,0.0463196,11245.735,11406.118,11406.118,11406.118,11406.118,11406.118
33,0.022608,0.019003,0.0564901,0.0338635,0.0297731,0.0306625,8648.07,9070.091,9070.091,9070.091,9070.091,9070.091
34,0.0217116,0.0135099,0.0418053,0.0245073,0.0169098,0.0103666,7264.066,7295.797,7295.797,7295.797,7295.797,7295.797
35,0.0161925,0.0153805,0.0411212,0.0270007,0.135234,0.0264972,9291.591,9628.746,9628.746,9628.746,9628.746,9628.746
36,0.0146333,0.0081273,0.0405478,0.0128892,0.0086858,0.009015,5830.498,5872.236,5872.236,5872.236,5872.236,5872.236
37,0.0182322,0.0183622,0.0591026,0.030749,0.0433797,0.0247511,6287.572,6251.125,6251.125,6251.125,6251.125,6251.125
38,0.0251389,0.0211359,0.0396327,0.0339747,0.0355235,0.0414146,8458.634,8487.846,8487.846,8487.846,8487.846,8487.846
39,0.1392671,0.0212727,0.0393242,0.0231257,0.0094699,0.0075085,9615.498,9313.994,9313.994,9313.994,9313.994,9313.994
40,0.0102628,0.0055305,0.0420157,0.0141637,0.0079878,0.0072665,7089.289,7015.857,7015.857,7015.857,7015.857,7015.857
41,0.0375928,0.0310706,0.0493121,0.0374464,0.0338201,0.0342385,11430.464,11423.882,11423.882,11423.882,11423.882,11423.882
42,0.0165321,0.0125667,0.1660451,0.0312918,0.0248225,0.0168503,7472.949,7310.936,7310.936,7310.936,7310.936,7310.936
43,0.0353405,0.0298719,0.0389557,0.0359591,0.0479486,0.0673676,12579.766,12424.267,12424.267,12424.267,12424.267,12424.267
44,0.0276719,0.0318048,0.0563192,0.0312351,0.0305391,0.0328862,11030.864,11029.009,11029.009,11029.009,11029.009,11029.009
45,0.1359025,0.0131048,0.0427381,0.04616,0.0242342,0.0236857,7775.622,7891.199,7891.199,7891.199,7891.199,7891.199
46,0.012787,0.0077154,0.0491713,0.0243552,0.0226741,0.018155,8228.118,8214.825,8214.825,8214.825,8214.825,8214.825
47,0.01475,0.0078195,0.0395683,0.0102609,0.0082051,0.0063837,6359.396,6379.456,6379.456,6379.456,6379.456,6379.456
