point_index,bidirectional_dijkstra_time,nx_bidirectional_dijkstra_time,dijkstras_time,nx_dijkstra_time,A_star_time,nx_A_star_time,bidirectional_dijkstra_cost,nx_bidirectional_dijkstra_cost,dijkstras_cost,nx_dijkstra_cost,A_star_cost,nx_A_star_cost
0,0.0112575,0.0010766,0.0509093,0.0015595,0.0043328,0.001896,1685.39,1633.524,1633.524,1633.524,1633.524,1633.524
1,0.1271656,0.000662,0.057616,0.0005398,0.0028287,0.000522,1554.834,1029.733,1029.733,1029.733,1029.733,1029.733
2,0.0054063,0.0002533,0.0380928,0.0003291,0.0027712,0.0002951,924.949,902.074,902.074,902.074,902.074,902.074
3,0.0053892,0.0003779,0.0428002,0.0008026,0.0027074,0.0003517,932.617,917.53,917.53,917.53,917.53,917.53
4,0.008545,0.0015123,0.0396436,0.0027784,0.0048621,0.0012327,2324.513,2146.23,2146.23,2146.23,2146.23,2146.23
5,0.1284977,0.0004314,0.0405482,0.0003005,0.0028874,0.0002671,1048.905,911.294,911.294,911.294,911.294,911.294
6,0.0070918,0.0008913,0.0584822,0.0015182,0.0061387,0.0018785,1711.791,1665.587,1665.587,1665.587,1665.587,1665.587
7,0.0094544,0.0004009,0.0512394,0.0006278,0.0052374,0.0008608,1349.68,1349.68,1349.68,1349.68,1349.68,1349.68
8,0.0088758,0.0008206,0.0550613,0.0015361,0.0040206,0.0010294,1305.571,1247.169,1247.169,1247.169,1247.169,1247.169
9,0.1234689,0.0002493,0.0525412,0.0002169,0.0032799,0.0004852,608.373,608.373,608.373,608.373,608.373,608.373
10,0.0053041,0.000402,0.0576101,0.0008221,0.0055515,0.0009696,792.633,774.244,774.244,774.244,774.244,774.244
11,0.0090552,0.0001868,0.0550504,0.0004496,0.0034442,0.0003706,723.452,728.875,728.875,728.875,728.875,728.875
12,0.0070259,0.0008146,0.1558374,0.0010206,0.0034485,0.0007069,1528.07,1529.596,1529.596,1529.596,1529.596,1529.596
13,0.0068376,0.000656,0.0541934,0.0021364,0.0081553,0.0031325,1709.05,1332.784,1332.784,1332.784,1332.784,1332.784
14,0.0089002,0.0004088,0.0549642,0.0009817,0.00567,0.0016488,1030.451,878.713,878.713,878.713,878.713,878.713
15,0.0068245,0.0002648,0.1737768,0.0002205,0.0028172,0.0001563,386.428,357.128,357.128,357.128,357.128,357.128
16,0.0064762,0.0003746,0.038309,0.0004984,0.0029128,0.0004092,1054.666,1025.631,1025.631,1025.631,1025.631,1025.631
17,0.005038,0.0009704,0.0504457,0.0024483,0.0057264,0.0034346,878.163,1917.313,1917.313,1917.313,1917.313,1917.313
18,0.0050902,0.000316,0.0384535,0.0005709,0.0029532,0.0006661,1185.235,1143.734,1143.734,1143.734,1143.734,1143.734
19,0.1080687,0.00066,0.055195,0.0013319,0.0058233,0.0019564,1064.586,1051.807,1051.807,1051.807,1051.807,1051.807
20,0.0094732,0.0010966,0.0508076,0.0012272,0.004161,0.0018457,1174.122,1339.247,1339.247,1339.247,1339.247,1339.247
21,0.0054738,0.0005694,0.0472573,0.0006004,0.0034033,0.0007423,938.697,902.032,902.032,902.032,902.032,902.032
22,0.0091684,0.0004924,0.0486801,0.0015469,0.0061395,0.0023316,1224.48,1268.402,1268.402,1268.402,1268.402,1268.402
23,0.1182198,0.0001588,0.04071,0.0001505,0.0025369,0.0002412,387.464,387.464,387.464,387.464,387.464,387.464
24,0.0061377,0.0009216,0.0393118,0.0022545,0.0037718,0.0019709,2340.743,2340.743,2340.743,2340.743,2340.743,2340.743
