point_index,bidirectional_dijkstra_time,nx_bidirectional_dijkstra_time,dijkstras_time,nx_dijkstra_time,A_star_time,nx_A_star_time,bidirectional_dijkstra_cost,nx_bidirectional_dijkstra_cost,dijkstras_cost,nx_dijkstra_cost,A_star_cost,nx_A_star_cost
0,0.0014422,0.0010184,0.0015988,0.0012816,0.0041708,0.0045641,1685.39,1633.524,1633.524,1633.524,1633.524,1633.524
1,0.0005822,0.0002056,0.000696,0.0003533,0.0005075,0.0004911,1554.834,1029.733,1029.733,1029.733,1029.733,1029.733
2,0.0002613,0.0002047,0.0003804,0.000175,0.0003434,0.0003272,924.949,902.074,902.074,902.074,902.074,902.074
3,0.0005045,0.0003376,0.0010049,0.000611,0.0003743,0.0003312,932.617,917.53,917.53,917.53,917.53,917.53
4,0.0013546,0.0007736,0.0014323,0.0011247,0.0009767,0.000835,2324.375,2146.23,2146.23,2146.23,2146.23,2146.23
5,0.0005838,0.0003528,0.0011199,0.0005131,0.0008646,0.0008695,1048.905,911.294,911.294,911.294,911.294,911.294
6,0.0004968,0.0005578,0.0006311,0.0003884,0.0006533,0.0009253,1711.791,1665.587,1665.587,1665.587,1665.587,1665.587
7,0.0004397,0.0002274,0.0009439,0.0002462,0.0003694,0.0003236,1349.68,1349.68,1349.68,1349.68,1349.68,1349.68
8,0.0008456,0.0005546,0.0011602,0.0010022,0.0010831,0.0011685,1305.571,1247.169,1247.169,1247.169,1247.169,1247.169
9,0.0001404,0.0001216,0.0001189,0.0001089,0.0004004,0.0004401,608.373,608.373,608.373,608.373,608.373,608.373
10,0.0008765,0.0005307,0.0012115,0.000567,0.001035,0.0010067,792.633,774.244,774.244,774.244,774.244,774.244
11,0.0003357,0.000156,0.0005168,0.0002948,0.0007547,0.0007841,723.452,728.875,728.875,728.875,728.875,728.875
12,0.0007398,0.0005332,0.0010574,0.0005848,0.0006988,0.0006736,1528.07,1529.596,1529.596,1529.596,1529.596,1529.596
13,0.0009147,0.0005549,0.0013554,0.0007207,0.0013051,0.0013746,1709.26,1332.784,1332.784,1332.784,1332.784,1332.784
14,0.0005403,0.0003842,0.0006585,0.0004712,0.0013872,0.001365,890.062,878.713,878.713,878.713,878.713,878.713
15,0.0002908,0.0002422,0.0003092,0.0001825,0.000343,0.0003183,386.428,357.128,357.128,357.128,357.128,357.128
16,0.0004161,0.0002403,0.0006117,0.0002427,0.0003466,0.0003299,1054.666,1025.631,1025.631,1025.631,1025.631,1025.631
17,0.0003198,0.0004515,0.0007223,0.0006129,0.0026447,0.0029076,878.163,1917.313,1917.313,1917.313,1917.313,1917.313
18,0.0005149,0.0004662,0.0006928,0.0004277,0.0012796,0.0012381,1185.235,1143.734,1143.734,1143.734,1143.734,1143.734
19,0.0004811,0.0003436,0.0008188,0.0006721,0.0006962,0.0007323,1064.586,1051.807,1051.807,1051.807,1051.807,1051.807
20,0.0012772,0.0010458,0.0023043,0.0012614,0.0040851,0.0042412,1174.122,1339.247,1339.247,1339.247,1339.247,1339.247
21,0.0006,0.0005005,0.0008882,0.00051,0.0007265,0.0007257,938.697,902.032,902.032,902.032,902.032,902.032
22,0.0006948,0.0004579,0.0015909,0.0007697,0.001015,0.0010734,1224.48,1268.402,1268.402,1268.402,1268.402,1268.402
23,0.0001153,8.31E-05,0.0001713,0.0001056,0.0002105,0.0002112,387.464,387.464,387.464,387.464,387.464,387.464
24,0.0005472,0.0005085,0.0007091,0.000333,0.0008416,0.0008717,2342.842,2340.743,2340.743,2340.743,2340.743,2340.743
25,0.0005647,0.0003452,0.0007938,0.0003359,0.0003329,0.0003298,1008.195,1008.306,1008.306,1008.306,1008.306,1008.306
26,0.0002737,0.000284,0.0004742,0.0003457,0.0005015,0.0005612,648.76,703.434,703.434,703.434,703.434,703.434
27,0.0006258,0.0002974,0.0008506,0.0003751,0.0005867,0.0005515,1029.433,793.392,793.392,793.392,793.392,793.392
28,0.0006774,0.0005325,0.001006,0.0007635,0.001477,0.0016503,1280.766,1257.871,1257.871,1257.871,1257.871,1257.871
29,0.0001991,0.0001552,0.0002439,0.000106,0.0004328,0.0004473,358.651,353.78,353.78,353.78,353.78,353.78
30,0.0010368,0.0008506,0.0018492,0.0012045,0.0033697,0.0035534,1313.254,1525.821,1525.821,1525.821,1525.821,1525.821
31,0.0007264,0.0004699,0.0010555,0.0005315,0.0014405,0.001435,1449.731,1410.525,1410.525,1410.525,1410.525,1410.525
32,0.000601,0.0003284,0.0011529,0.0006225,0.0006902,0.0006267,859.729,727.938,727.938,727.938,727.938,727.938
33,0.0008319,0.0006591,0.0009731,0.0005647,0.0004756,0.000546,1381.826,1381.826,1381.826,1381.826,1381.826,1381.826
34,0.0006058,0.0003307,0.0009523,0.0007913,0.0018019,0.0019952,1486.951,1660.074,1660.074,1660.074,1660.074,1660.074
