point_index,bidirectional_dijkstra_time,nx_bidirectional_dijkstra_time,dijkstras_time,nx_dijkstra_time,A_star_time,nx_A_star_time,bidirectional_dijkstra_cost,nx_bidirectional_dijkstra_cost,dijkstras_cost,nx_dijkstra_cost,A_star_cost,nx_A_star_cost
0,0.0017151,0.0014461,0.0018742,0.001441,0.0030664,0.0036034,9666.067,9666.067,9666.067,9666.067,9666.067,9666.067
1,0.0013401,0.0012077,0.0019322,0.0015891,0.0033293,0.0037808,12305.759,12305.759,12305.759,12305.759,12305.759,12305.759
2,0.0011184,0.0015799,0.0018315,0.0015745,0.0010052,0.0009918,9279.781,9279.781,9279.781,9279.781,9279.781,9279.781
3,0.0008398,0.0006846,0.0017825,0.0004875,0.0010326,0.0010803,8912.378,8912.378,8912.378,8912.378,8912.378,8912.378
4,0.0006447,0.0004369,0.0018896,0.0012377,0.0008225,0.0008106,8396.465,8370.007,8370.007,8370.007,8370.007,8370.007
5,0.0008909,0.0007485,0.0017164,0.001499,0.0021916,0.0020865,7860.316,7860.316,7860.316,7860.316,7860.316,7860.316
6,0.0011539,0.0010306,0.0018203,0.0009647,0.0020003,0.002245,8576.058,8550.496,8550.496,8550.496,8550.496,8550.496
7,0.0008763,0.0007575,0.0017227,0.001023,0.0013118,0.0014299,6466.863,6457.684,6457.684,6457.684,6457.684,6457.684
8,0.0013472,0.0012314,0.0026796,0.0015142,0.0037746,0.0043585,8543.453,8515.86,8515.86,8515.86,8515.86,8515.86
9,0.0011808,0.0010432,0.0018379,0.0019941,0.0034534,0.0037031,8219.378,8191.785,8191.785,8191.785,8191.785,8191.785
10,0.000946,0.0007625,0.0017272,0.0004794,0.0008368,0.000977,10879.005,10879.005,10879.005,10879.005,10879.005,10879.005
11,0.0011679,0.0010633,0.0020384,0.0013512,0.0024007,0.002739,9493.89,9493.89,9493.89,9493.89,9493.89,9493.89
12,0.0007261,0.0005077,0.001738,0.0012774,0.0015858,0.0017448,8745.358,8745.358,8745.358,8745.358,8745.358,8745.358
13,0.0009238,0.0007535,0.0017359,0.0014925,0.0019317,0.0019664,7315.633,7153.896,7295.088,7153.896,7295.088,7364.267
14,0.0008078,0.0006401,0.0017727,0.0016011,0.0024796,0.0018931,9835.772,9845.32,9845.32,9845.32,9845.32,9845.32
15,0.0010522,0.0008828,0.001735,0.0008858,0.0017217,0.0018915,6382.337,6377.097,6377.097,6377.097,6377.097,6377.097
16,0.0010487,0.0009188,0.0017319,0.0012777,0.0024796,0.0028693,8065.837,8065.837,8065.837,8065.837,8065.837,8065.837
17,0.000893,0.0007267,0.0017389,0.0015494,0.0016136,0.0017756,7200.337,7179.792,7179.792,7179.792,7179.792,7179.792
18,0.0013468,0.001224,0.0017562,0.0015931,0.0048158,0.0058035,12387.112,12387.112,12387.112,12387.112,12387.112,12387.112
19,0.0015123,0.0013597,0.0017639,0.0015119,0.0036432,0.0041418,15022.691,15048.253,15048.253,15048.253,15048.253,15048.253
20,0.0013291,0.0011874,0.0017372,0.0014706,0.0030057,0.0034602,9548.966,9489.459,9489.459,9489.459,9489.459,9489.459
21,0.0009949,0.0008785,0.0019022,0.001341,0.0035468,0.0033695,8367.139,8367.139,8367.139,8367.139,8367.139,8367.139
22,0.001227,0.0010913,0.0017254,0.0010987,0.0017308,0.0019671,8631.157,8631.157,8631.157,8631.157,8631.157,8631.157
23,0.0009877,0.0008204,0.0017421,0.0016415,0.0047688,0.0054723,11973.032,11964.557,11964.557,11964.557,11964.557,11964.557
24,0.000627,0.0004165,0.0017498,0.0002615,0.0006323,0.0006189,5856.158,5663.176,5663.176,5663.176,5663.176,5663.176
25,0.0010251,0.0008959,0.0017475,0.0008838,0.0015256,0.0016886,6644.107,6721.699,6721.699,6721.699,6721.699,6721.699
26,0.0013317,0.0014671,0.0017544,0.0013381,0.0032405,0.0036734,11771.6,11776.84,11776.84,11776.84,11776.84,11776.84
27,0.0010131,0.000841,0.0017486,0.0008468,0.0011292,0.0012171,6401.748,6409.277,6409.277,6409.277,6409.277,6409.277
