point_index,bidirectional_dijkstra_time,nx_bidirectional_dijkstra_time,dijkstras_time,nx_dijkstra_time,A_star_time,nx_A_star_time,bidirectional_dijkstra_cost,nx_bidirectional_dijkstra_cost,dijkstras_cost,nx_dijkstra_cost,A_star_cost,nx_A_star_cost
0,0.0005986,0.0002937,0.0024669,0.0004643,0.0005665,0.0005208,1004.246,1004.246,1004.246,1004.246,1004.246,1004.246
1,0.0003984,0.0001158,0.0021939,0.0001184,0.0003536,0.0001837,1164.306,1164.306,1164.306,1164.306,1164.306,1164.306
2,0.0005865,0.0003248,0.0019489,0.0004024,0.0005417,0.0004482,997.927,967.263,967.263,967.263,967.263,967.263
3,0.0004384,0.0002718,0.0018079,0.000363,0.0005451,0.0005504,1033.262,1033.262,1033.262,1033.262,1033.262,1033.262
4,0.0003598,0.000118,0.0018601,0.0001123,0.000327,0.0002325,1217.198,1217.198,1217.198,1217.198,1217.198,1217.198
5,0.0002618,2.39E-05,0.0017931,4.36E-05,0.0001514,3.25E-05,269.91,269.91,269.91,269.91,269.91,269.91
6,0.0004159,0.0001977,0.0018184,0.0004328,0.0008143,0.0008342,1343.721,1338.236,1338.236,1338.236,1338.236,1338.236
7,0.0004864,0.0002543,0.0017406,0.0003203,0.0005379,0.0005138,862.449,862.449,862.449,862.449,862.449,862.449
8,0.0003972,0.0001911,0.0018608,0.0002172,0.0005498,0.0005438,762.44,823.835,823.835,823.835,823.835,823.835
9,0.0003082,6.94E-05,0.0017925,4.70E-05,0.0002131,0.0001153,614.416,614.416,614.416,614.416,614.416,614.416
10,0.0005199,0.0003069,0.0018107,0.0002752,0.0004178,0.0003354,1007.728,993.318,993.318,993.318,993.318,993.318
11,0.0003347,0.0001082,0.0017414,0.0002945,0.0002913,0.0002001,782.877,782.877,782.877,782.877,782.877,782.877
12,0.0002791,4.07E-05,0.0017904,3.36E-05,0.0001932,8.80E-05,548.627,548.627,548.627,548.627,548.627,548.627
13,0.0005517,0.0002122,0.0020059,0.0002386,0.0004319,0.0003445,717.243,717.226,717.226,717.226,717.226,717.226
14,0.0003381,0.0001079,0.0018189,9.13E-05,0.0002773,0.0001845,417.489,417.489,417.489,417.489,417.489,417.489
15,0.0003431,0.0001136,0.0019273,0.0002374,0.0005038,0.0004468,1315.832,1315.832,1315.832,1315.832,1315.832,1315.832
16,0.0003477,0.0001223,0.001756,0.000128,0.0002702,0.0001761,468.41,468.41,468.41,468.41,468.41,468.41
17,0.0002818,4.95E-05,0.0017096,5.97E-05,0.0001816,7.67E-05,314.198,314.198,314.198,314.198,314.198,314.198
18,0.00028,7.22E-05,0.001767,3.87E-05,0.000186,7.60E-05,282.402,282.402,282.402,282.402,282.402,282.402
19,0.000472,0.0002641,0.0017298,0.0003557,0.000696,0.0006877,1108.048,1109.753,1109.753,1109.753,1109.753,1109.753
20,0.0003333,0.000128,0.0017315,0.000353,0.0004786,0.0004159,960.891,985.903,985.903,985.903,985.903,985.903
21,0.0004584,0.000242,0.0017858,0.0003664,0.0006475,0.0006354,1101.892,1103.597,1103.597,1103.597,1103.597,1103.597
22,0.0003158,9.24E-05,0.0017684,9.67E-05,0.0006128,0.000219,1087.916,1087.916,1087.916,1087.916,1087.916,1087.916
23,0.0004808,4.08E-05,0.0021705,4.34E-05,0.0002144,8.16E-05,143.52,135.512,135.512,135.512,135.512,135.512
24,0.0003257,7.85E-05,0.00182,4.22E-05,0.000258,0.000171,1141.39,1141.39,1141.39,1141.39,1141.39,1141.39
