point_index,bidirectional_dijkstra_time,nx_bidirectional_dijkstra_time,dijkstras_time,nx_dijkstra_time,A_star_time,nx_A_star_time,bidirectional_dijkstra_cost,nx_bidirectional_dijkstra_cost,dijkstras_cost,nx_dijkstra_cost,A_star_cost,nx_A_star_cost
0,0.000211,0.0001749,0.0003567,0.0002668,0.000451,0.000387,1038.292,1004.246,1004.246,1004.246,1004.246,1004.246
1,0.0001391,9.47E-05,0.0003075,8.08E-05,0.0001825,0.0001736,1164.306,1164.306,1164.306,1164.306,1164.306,1164.306
2,0.000285,0.0002476,0.000328,0.0002686,0.0003963,0.0004631,967.263,967.263,967.263,967.263,967.263,967.263
3,0.0002131,0.0001948,0.0002418,0.0002098,0.0004411,0.0004945,1033.262,1033.262,1033.262,1033.262,1033.262,1033.262
4,0.0001199,0.000108,0.0001392,8.69E-05,0.0002156,0.0002285,1217.198,1217.198,1217.198,1217.198,1217.198,1217.198
5,3.04E-05,2.37E-05,3.99E-05,2.93E-05,4.83E-05,3.40E-05,269.91,269.91,269.91,269.91,269.91,269.91
6,0.0002451,0.0002078,0.0004137,0.0003662,0.0007331,0.0008885,1343.721,1338.236,1338.236,1338.236,1338.236,1338.236
7,0.0002781,0.0002435,0.0003511,0.0002918,0.0004619,0.0005257,862.449,862.449,862.449,862.449,862.449,862.449
8,0.0002052,0.0001906,0.0002663,0.0001937,0.0004567,0.0005025,762.44,823.835,823.835,823.835,823.835,823.835
9,8.36E-05,7.93E-05,8.39E-05,3.98E-05,0.0001187,0.0001187,614.416,614.416,614.416,614.416,614.416,614.416
10,0.0004487,0.000373,0.00049,0.0002624,0.0003502,0.0003385,1007.728,993.318,993.318,993.318,993.318,993.318
11,0.0001321,0.0001089,0.0002316,0.000199,0.0001978,0.0002013,782.877,782.877,782.877,782.877,782.877,782.877
12,0.0001231,7.31E-05,0.0002059,6.09E-05,0.0002519,0.000246,548.627,548.627,548.627,548.627,548.627,548.627
13,0.0002313,0.0001988,0.0003124,0.0002071,0.0003199,0.0003332,717.243,717.226,717.226,717.226,717.226,717.226
14,0.0001139,0.0001024,0.0001326,7.80E-05,0.0001767,0.0001841,417.489,417.489,417.489,417.489,417.489,417.489
15,0.000148,0.0004551,0.0002107,0.0001782,0.0004098,0.0004347,1315.832,1315.832,1315.832,1315.832,1315.832,1315.832
16,0.000135,0.0001181,0.0002294,0.0001222,0.000177,0.0001783,468.41,468.41,468.41,468.41,468.41,468.41
17,5.83E-05,4.90E-05,6.15E-05,2.89E-05,8.26E-05,7.86E-05,314.198,314.198,314.198,314.198,314.198,314.198
18,5.30E-05,4.62E-05,4.60E-05,2.98E-05,8.18E-05,7.94E-05,282.402,282.402,282.402,282.402,282.402,282.402
19,0.0002851,0.0002572,0.0003722,0.0003178,0.0006012,0.0006856,1108.048,1109.753,1109.753,1109.753,1109.753,1109.753
20,0.000154,0.0001312,0.0003191,0.0002644,0.0004112,0.0004343,960.891,985.903,985.903,985.903,985.903,985.903
21,0.0002703,0.0002363,0.0003765,0.0003282,0.0005591,0.0006294,1101.892,1103.597,1103.597,1103.597,1103.597,1103.597
22,0.0001241,8.57E-05,0.0002543,8.33E-05,0.0001844,0.0001767,1087.916,1087.916,1087.916,1087.916,1087.916,1087.916
23,4.20E-05,3.20E-05,2.21E-05,1.81E-05,6.99E-05,6.42E-05,143.52,135.512,135.512,135.512,135.512,135.512
24,0.0001105,7.23E-05,0.0002215,3.82E-05,0.0001761,0.0001711,1141.39,1141.39,1141.39,1141.39,1141.39,1141.39
25,7.43E-05,5.53E-05,8.44E-05,3.73E-05,0.0001346,0.0001325,1487.618,1487.618,1487.618,1487.618,1487.618,1487.618
26,0.0001378,0.0001082,0.0002207,0.0001989,0.0003671,0.0003984,1542.457,1542.457,1542.457,1542.457,1542.457,1542.457
27,0.0001141,9.00E-05,0.0001815,7.54E-05,0.0001988,0.0002134,848.65,848.65,848.65,848.65,848.65,848.65
28,0.0001052,8.72E-05,0.0001396,0.0001016,0.0001962,0.0002157,540.979,540.979,540.979,540.979,540.979,540.979
29,0.0001198,0.0001022,0.0002829,6.96E-05,0.0002107,0.0002247,1372.874,1372.874,1372.874,1372.874,1372.874,1372.874
30,0.0001253,0.0001034,0.0001366,6.19E-05,0.0002291,0.0002254,816.354,816.354,816.354,816.354,816.354,816.354
31,0.0003209,0.0002809,0.0004198,0.000322,0.0005,0.0005528,1077.446,1085.279,1085.279,1085.279,1085.279,1085.279
32,3.30E-05,1.81E-05,6.66E-05,1.56E-05,5.91E-05,5.10E-05,522.622,522.622,522.622,522.622,522.622,522.622
33,0.0001013,8.72E-05,9.26E-05,7.76E-05,0.0002124,0.0002292,1023.777,1023.777,1023.777,1023.777,1023.777,1023.777
34,0.0003132,0.0002856,0.0003423,0.0002379,0.0002733,0.0002665,857.214,851.774,851.774,851.774,851.774,851.774
35,0.0001719,0.0001431,0.0002769,0.0002022,0.0003179,0.0003548,882.653,882.653,882.653,882.653,882.653,882.653
36,0.0003298,0.0002959,0.0004084,0.0002897,0.0004258,0.0005346,1020.606,957.528,957.528,957.528,957.528,957.528
37,0.0001855,0.000161,0.000255,0.0001181,0.0002156,0.0002219,630.123,630.123,630.123,630.123,630.123,630.123
38,0.0003635,0.0003172,0.0004344,0.0002815,0.0004564,0.0006411,1105.366,1076.548,1076.548,1076.548,1076.548,1076.548
39,0.0001237,0.0001011,0.0001641,0.0001255,0.0002562,0.0002687,605.582,605.582,605.582,605.582,605.582,605.582
40,6.84E-05,5.70E-05,8.29E-05,5.57E-05,9.21E-05,8.72E-05,526.78,526.78,526.78,526.78,526.78,526.78
41,5.80E-05,4.43E-05,4.22E-05,2.74E-05,9.08E-05,9.14E-05,398.138,398.138,398.138,398.138,398.138,398.138
